"地图ID","名称","配置文件","宽","高","总格数","复杂机制","地板主题","目标类型","等级","精英","首领","主角出生","敌人编成","地形数量","永久重物块","动态变化数量","动态变化摘要","空间语法","公开风险","反制窗口","启用","版本"
"library_discipline","精英战斗 07 · 图书馆纠察","Worldbuilding/地图配置/战斗地图/library_discipline.occ-map.json","7","6","42","是","Courtyard","Elimination","3","是","否","1:3","wind_librarian@6:1|barrier_mender@6:4|sigil_mauler@6:3","14","2","0","","书架双廊、阅览桌与散页堆","页幕和书架会截断攻击线，补盾助教依附长桌。","烧掉或打湿散页，再从另一条走廊压上。","是","2"
"outer_ring_clearance","精英战斗 08 · 高塔外环清障","Worldbuilding/地图配置/战斗地图/outer_ring_clearance.occ-map.json","7","6","42","是","AetherMarked","Elimination","3","是","否","0:3","elite_vanguard@4:3|lantern_revealer@6:4|rune_arbalist@6:1","15","4","1","划线教官生成临时重掩体@划线教官回合开始","外环直廊、中央物块堆与两处重掩体","背弩重矢与显影沿同一廊道叠加。","借永久重物块遮断直线，或先拆重掩体再压上。","是","2"
"rail_patrol","普通战斗 04 · 石路巡哨","Worldbuilding/地图配置/战斗地图/rail_patrol.occ-map.json","6","5","30","否","StoneRoad","Elimination","1","否","否","2:4","shieldguard@2:2|pyromancer@0:0|raider@5:0","15","8","0","","短石路交叉线与底边门墩","压中会进入两翼交叉影响区。","左右翼均可回到底边换线，中央盾位不封死两侧。","是","2"
"rain_lantern_court","普通战斗 01 · 雨后灯庭","Worldbuilding/地图配置/战斗地图/rain_lantern_court.occ-map.json","6","5","30","否","Courtyard","Elimination","1","否","否","1:4","tether_hound@4:3|pyromancer@5:0","22","10","0","","雨后石庭、短浅水横带、双列灯藤与西侧安全入口","寻迹兽封住近侧，火矢生沿干地与藤列形成公开射线。","可入藤延迟搜查、借浅水灭火，或沿西侧掩体先处理寻迹兽。","是","2"
"relay_raid","普通战斗 06 · 野外导能柱","Worldbuilding/地图配置/战斗地图/relay_raid.occ-map.json","6","6","36","否","AetherMarked","Destruction","2","否","否","4:0","raider@4:2|rune_arbalist@5:4|tether_hound@1:4","18","10","0","","偏心目标与折线掩体","直切目标会进入背弩生公开射线。","可先压制背弩生，也可由下侧掩体接近目标。","是","2"
"sealed_vault_certification","精英战斗 06 · 封存库权限核验","Worldbuilding/地图配置/战斗地图/sealed_vault_certification.occ-map.json","7","6","42","是","AetherMarked","Elimination","3","是","否","0:4","legacy_storekeeper@5:3|lantern_revealer@6:1|sigil_mauler@4:4","14","4","0","","货架短墙与消防积水构成的库房通道","老库管会退掉新场地，提灯巡查沿直线施加破势。","利用货架短墙切断旧脉冲，或抢在登记生效前从积水侧推进。","是","2"
"signal_hub","普通战斗 07 · 传讯石庭","Worldbuilding/地图配置/战斗地图/signal_hub.occ-map.json","6","6","36","否","Courtyard","Elimination","2","否","否","0:4","barrier_mender@4:1|lantern_revealer@1:1|shieldguard@4:4","14","8","0","","三角维护网与北侧石台","切任一支援点都会留下另外两条公开维护关系。","外围保持连通，可在看见显影与护障意图后换边。","是","2"
"testmap01","普通战斗 14 · 地图示例1","Worldbuilding/地图配置/战斗地图/testmap01.occ-map.json","7","7","49","否","Courtyard","Elimination","1","否","否","1:1","breach_ram@3:5","49","17","0","","","","","草稿","2"
"transmission_tower","普通战斗 09 · 传讯塔楼","Worldbuilding/地图配置/战斗地图/transmission_tower.occ-map.json","6","6","36","否","AetherMarked","Destruction","3","否","否","0:2","pyromancer@5:1|stone_snare@5:4|lantern_revealer@1:4","13","7","0","","中央装置与三个短扇区","接近中心只能遮蔽一部分远程压力。","目标破坏即胜；可快拆或先从左上处理显影。","是","2"
"weak_layout_w1","普通战斗 10 · 弱遭遇布局 W1","Worldbuilding/地图配置/战斗地图/weak_layout_w1.occ-map.json","6","5","30","否","StoneRoad","Elimination","1","否","否","2:4","raider@1:0|shieldguard@4:0","10","5","0","","半开放双翼演练场","中央盾位与单侧接近形成公开夹角。","出生点后方保留换翼退路。","是","2"
"weak_layout_w2","普通战斗 11 · 弱遭遇布局 W2","Worldbuilding/地图配置/战斗地图/weak_layout_w2.occ-map.json","6","5","30","否","Courtyard","Elimination","1","否","否","1:4","rune_arbalist@5:0|raider@5:3","10","4","0","","回廊折角与双出口","远端射线与下方通道接近同时公开。","折角墙后可换线并切断远射。","是","2"
"weak_layout_w3","普通战斗 12 · 弱遭遇布局 W3","Worldbuilding/地图配置/战斗地图/weak_layout_w3.occ-map.json","6","5","30","否","Ruins","Elimination","1","否","否","2:4","tether_hound@1:0|shieldguard@4:0","10","2","0","","六块结构围出的短环路","双敌分守环路两侧。","环路上下均连通，可主动拆开接触顺序。","是","2"
"weak_layout_w4","普通战斗 13 · 弱遭遇布局 W4","Worldbuilding/地图配置/战斗地图/weak_layout_w4.occ-map.json","6","5","30","否","AetherMarked","Elimination","1","否","否","0:4","pyromancer@4:0|raider@5:3","8","2","0","","错位掩体与远近双线","火矢远压与侧锋接近线错位。","中段掩体允许先挡远程或先截侧锋。","是","2"
