"类别","ID","区域","名称","变体或池","底图","目标选择或功能","奖励","时序"
"普通战斗","N14","郊野","测绘队路线复核","强／strong_depot_wreck_b","depot_wreck","胜利条件：击倒寻迹兽、替身偶与拴索助教。压力：双束缚与中路重击；应对：利用偏置通道拆分敌群、用浅水清痕或先处理束缚来源。救援路线仅为场地叙事，不设救援目标。","REWARD-NORMAL-STRONG：金币3、贡献1、构筑三选一、材料二选一","2"
"普通战斗","N15","封存","旧校舍封门检查","强／strong_gatehouse_b","gatehouse","胜利条件：击倒盾术生、替身偶与背弩生。压力：双向门厅错位门线上的护盾、破势与重弩；应对：利用中央换路切线、贴近重弩死区或先击倒近战单位。门扇不是额外目标。","REWARD-NORMAL-STRONG：金币3、贡献1、构筑三选一、材料二选一","2"
"普通战斗","N16","封存","观测塔显影误报","强／strong_signal_hub_b","signal_hub","先处理破势来源再拆护障维护","破势/反制＋强池档","2"
"普通战斗","N17","教学","图书室导能演算","强／strong_relay_raid_b","relay_raid","胜利条件：击倒侧锋生、背弩生与寻迹兽。压力：偏心路线上的双近战接近与重弩远线；应对：利用对角通道分批接敌、切断攻击线或控制侧锋生。场地装置不构成任务目标。","REWARD-NORMAL-STRONG：金币3、贡献1、构筑三选一、材料二选一","2"
"普通战斗","N18","工坊","试制器具压力演练","强／strong_transmission_tower_b","transmission_tower","胜利条件：击倒火矢生、拴索助教与提灯巡查。压力：对角封线上的燃烧、束缚与显影；应对：利用扇区之间的切入线、浅水清燃烧并避开重叠攻击线。场地器具不构成任务目标。","REWARD-NORMAL-STRONG：金币3、贡献1、构筑三选一、材料二选一","2"
"精英战斗","E01","工坊","刻阵工坊高阶考核","elite_foundry_a／elite_foundry_b","elite_foundry","胜利条件：击倒划线教官、补盾助教与替身偶。压力：教官增设临时重掩体，补盾助教维持维护链；应对：拆除供盾来源、穿过侧路直接攻击教官或逐个击倒。两变体仅改变空间语法，不改敌群和胜利条件。","REWARD-ELITE：金币6、贡献2、精英构筑三选一、支援二选一","3"
"精英战斗","E02","工坊","失控校准室封锁","calibration_lockdown_a","calibration_lockdown","胜利条件：击倒试制员、背弩生与拴索助教。压力：试制员每回合布放装置，装置连锁爆炸波及敌我；应对：拆装置、拉开正交距离、压制试制员或切断背弩攻击线。","REWARD-ELITE：金币6、贡献2、精英构筑三选一、支援二选一","3"
"精英战斗","E03","郊野","断崖导能柱考察","cliff_relay_survey_a","cliff_relay_survey","胜利条件：击倒老寻、灯台值守与补盾助教。压力：老寻循味追击，灯台值守封锁直线，补盾助教依结构续盾；应对：利用遮挡避开光带、离开气味痕、击倒补盾来源或集中火力。","REWARD-ELITE：金币6、贡献2、精英构筑三选一、支援二选一","3"
"精英战斗","E04","教学","图书馆纠察","library_discipline","library_discipline","击倒小铃、补盾助教与替身偶；逾期不还书且在阅览厅喧哗的现场纠察","精英奖励","3"
"精英战斗","E05","封存","封存库权限核验","sealed_vault_certification","sealed_vault_certification","击倒老库管、提灯巡查与替身偶；他退你的场地吃你的行动点","精英奖励","3"
"精英战斗","E06","封存","高塔外环清障","outer_ring_clearance","outer_ring_clearance","击倒划线教官、提灯巡查与背弩生；在直线光照下处理物块与对手","精英奖励","3"
"事件","EV01","中庭","新生实战委托","weak_flank_drill","rail_patrol","场景：新生可选择领取装备，或接受公开的侧锋对练。选项A：支付1学院贡献，领取折盾匣（G-T01）。选项B：进入弱侧锋演练，击倒盾术生与侧锋生即胜，胜利额外获得1金币；失败不扣除基础资源。无护送、倒计时或额外目标。","A：折盾匣；B：金币1","1"
"事件","EV02","教学","档案室异常索引","","","支付 1 贡献取得 3 金币；或免费登记并额外取得 1 贡献","","1"
"事件","EV03","教学","被封存的观察记录","","","进入已预览的档案库战斗，胜利结算3金币与2学院贡献；或放弃并获 1 学院贡献","","1"
"事件","EV04","工坊","器材登记窗口","","","支付 2 贡献取得复元编架；或免费协助基础校准并恢复 2 个人魔力","","1"
"事件","EV05","市集","退货的护盾组件","","","支付 4 金币取得折盾匣；或免费登记退货并取得 1 贡献","","1"
"事件","EV06","郊野","观测塔求援信号","","","进入已预览救援战，胜利结算3金币与2学院贡献；或支付 2 金币取得 2 贡献","","1"
"事件","EV07","郊野","路障与巡查告示","","","承受 2 生命损失取得 3 金币与 1 贡献；或绕行取得 2 金币","","1"
"事件","EV08","封存","高塔值守记录","","","场景：值守记录室提供资源兑换或恢复回路。选项A：支付1学院贡献，取得3金币。选项B：免费恢复至多3点个人魔力；当前魔力已满时该选项不可选。两项只能选一项，结算后立即保存。","A：金币3；B：恢复至多3个人魔力","1"
"事件","EV09","中庭","医务室临时征集","weak_barrier_demo","signal_hub","场景：医务室用临时征集补充巡诊物资。选项A：支付3金币，恢复6生命。选项B：进入已预览的护障课程演练，击倒补盾助教与盾术生即胜，胜利取得复元编架（G-T06）。失败不扣除基础资源；不设置护送目标。","A：恢复6生命；B：复元编架（G-T06）","1"
"事件","EV10","市集","赞助账目追索","","","支付 3 金币取得 2 贡献；或进入已预览考核战，胜利额外得 1 金币","","1"
"事件","EV11","郊野","猎团旧标记","","","支付 2 贡献取得显迹测镜；或进入已预览寻迹兽演练，按战斗档结算","","1"
"事件","EV12","教学","术式抄录争议","","","支付 4 金币取得火术 `F-P-U03`；或协助核对取得 2 贡献","","1"
"事件","EV13","工坊","护具压力复核","","","支付 3 金币取得折盾匣；或参加已预览维护链战斗，胜利获远投定距杖","","1"
"事件","EV14","市集","临时医护征集","","","免费协助分拣并取得 1 贡献；或支付 1 贡献恢复 4 生命与 2 魔力","","1"
"事件","EV15","郊野","导能柱错位读数","","","支付 1 贡献取得 3 金币；或进入已预览破坏目标战，胜利获险地冷凝器","","1"
"事件","EV16","封存","维护链替班","","","支付 2 贡献取得折盾匣；或进入已预览精英战，胜利结算3金币与2学院贡献","","1"
"医务室","S01","中庭","医务室","","","恢复：支付1贡献恢复最大生命的50%；餐食：进入时从8种中无重复抽3种并可购买1种；两项各可执行一次；学院层展开区固定节点，商店之后仍可用","","0"
"商店","SHOP01","市集","学院补给商店","","","移相线轴6金币、解构楔3金币、测距护目镜4金币，各限购1件；学院层展开区固定节点，商店之后仍可用","","0"
"工坊","S03","工坊","校准工坊","","","4 金币取得远投定距杖；或免费协助整理器材取得 1 贡献","","0"
"商店","S04","市集","临时补给点","","","与学院补给商店共用公开商店表；每个地图节点只可结算一次","","0"
"工坊","W01","工坊","校准工坊","","","免费完成一次装备锻造和一次术式专精；只消耗对应材料；结果立即保存；学院层展开区固定节点，商店之后仍可用","","0"
"事件","T01","教学/郊野","遗失器材库","","","移相线轴、解构楔、测距护目镜三选一；按事件节点结算","","0"
"事件","T02","封存","封存管理员匣","","","场景：封存塔升降间的管理员将一枚冒险封签交予通过核验的学员。结算：取得冒险封签（G-T19）；该物品是可选战斗道具，不是首领门槛或通行凭证。","冒险封签（G-T19）","0"
"Boss","B01","学院封存塔核心","学院封存塔核心","core_finale","core_finale","胜利条件：击倒塔之守卫；三组机关只提供公开的战场压力，不计入击杀目标。压力：阶段〇放行机关，阶段一塔压与重锤，阶段二并链；应对：拆除已放行机关切断对应效果，利用掩体截断直线并在阶段〇准备站位。","REWARD-BOSS：金币10、贡献3、终端构筑三选一、职责补强三选一、锻造材料1、专精材料1","3"
