"技能ID","名称","卡面文案","类别","来源","AP","魔力","生命","冷却","次数","目标与范围","效果链","结算规则","启用","版本","主构筑","职责","主词条","附带词条","伤害类别"
"ARTIFACT-G-T16","护盾均衡阀","失去12点护盾，在目标格生成耐久12的轻掩体。使用前你必须至少有12点护盾。","法宝","法宝:G-T16","0","0","0","0","3","3 格内未占用、无物件的空格；自身至少有 12 护盾","失去 12 点护盾；在目标格生成 12 耐久轻掩体","掩体双方都能利用或摧毁；护盾不足 12 时不可用","是","1","","","","",""
"ARTIFACT-G-T17","震测铅锤","目标格周围至少要有一个敌人或友方。将正交相邻的敌人和友方各向外推1格；中心目标不动。遇阻、占位或定锚时停止。","法宝","法宝:G-T17","0","0","0","0","2","3 格内可见地格；目标格及正交邻格至少有一个单位","正交邻格单位分别沿径向被震退 1 格；中心单位不移动，遇阻、占位或定锚停止，敌我共同生效","友军同受影响；用于拆夹击、推出距离带与制造敌方友伤角度；不改变行动条","是","1","","","","",""
"ARTIFACT-G-T18","静默幕","在目标格生成烟幕，持续4回合。烟幕可通过，但会阻断双方的远程攻击线。","法宝","法宝:G-T18","0","0","0","0","2","3 格内可见、未占用且无物件的空格","在目标格生成持续 4 个公共回合的烟幕；该格仍可进入，但会截断敌我穿过、射入或射出的远程攻击线","近战不受影响；险地冷凝器可提前清除；也会遮断己方远程输出","是","1","","","","",""
"ARTIFACT-G-T19","冒险封签","仅在你生命值高于12时可用。对敌人造成28点伤害；若目标结算后仍存活，你失去12点生命，且无视护盾。","法宝","法宝:G-T19","0","0","0","0","2","4 格内可见敌人；使用者生命大于 12","对目标造成 28 点伤害；若完整结算后目标仍存活，使用者失去 12 生命，绕过护盾","护盾和高生命目标会稳定触发反噬；精确预览后收割或先破势是主要用法","是","1","","","","",""
"BASE-AETHER-SHIELD","以太护幕","","基础术式","基础术式:BASE-AETHER-SHIELD","1","2","0","1自身回合","无限","自身；射程0","获得6普通护盾","不进入奖励池","是","1","","","","",""
"BASE-FIRE-MELEE","灼触","","基础术式","基础术式:BASE-FIRE-MELEE","1","1","0","0自身回合","无限","相邻可见敌人；射程1","造成8伤害","不进入奖励池","是","1","","","","",""
"BASE-FIRE-RANGED","火花","","基础术式","基础术式:BASE-FIRE-RANGED","1","2","0","0自身回合","无限","可见敌人；射程4","造成6伤害","不进入奖励池","是","1","","","","",""
"BASE-MANA-RECOVER","回路调息","","基础术式","基础术式:BASE-MANA-RECOVER","1","0","0","1自身回合","无限","自身；射程0","恢复2个人魔力且不超过上限12","不进入奖励池","是","1","","","","",""
"breach_ram","楔角撞击","","武器动作","单位或系统","全部剩余","0","0","0","无限","相邻可受击目标","造成4点物理伤害","敌方全回合动作","是","1","","","","",""
"breach_ram_charge","贯场冲压","","精英能力","单位或系统","全部剩余","0","0","0","无限","正交最低成本路径；预算5","逐格支付地形移动代价；首个可受击单位或物件受到8点伤害；单位沿末步推1格；干地终点施加破势","锁定格不暗换目标；地形和占位变化后重算公开路线；敌方全回合动作","是","1","","","","",""
"enemy_hooking_strike","钩刃牵制","","敌人能力","单位或系统","全部剩余","0","0","0","无限","相邻敌方单位","造成3点物理伤害；施加束缚1回合","敌方全回合动作","是","1","","","","",""
"enemy_revealing_lantern","显影灯照","","敌人能力","单位或系统","全部剩余","0","0","0","无限","3格内可见敌方单位","造成1点以太伤害；施加破势","名称保留历史身份，不施加已删除的显形状态；敌方全回合动作","是","1","","","","",""
"enemy_shield_ram","铭盾冲撞","","敌人能力","单位或系统","全部剩余","0","0","0","无限","相邻敌方单位","造成2点物理伤害；施加敏捷-1，持续1回合","敌方全回合动作","是","2","","","","",""
"enemy_stone_snare","石索锁步","","敌人能力","单位或系统","全部剩余","0","0","0","无限","3格内可见敌方单位","造成1点物理伤害；施加束缚2回合","要求攻击线；敌方全回合动作","是","1","","","","",""
"enemy_sundering_sigil","碎势锤印","","敌人能力","单位或系统","全部剩余","0","0","0","无限","相邻敌方单位","造成2点物理伤害；施加破势","敌方全回合动作","是","1","","","","",""
"enemy_tether_pounce","缚环扑咬","","敌人能力","单位或系统","全部剩余","0","0","0","无限","相邻敌方单位","造成2点物理伤害；施加束缚1回合","敌方全回合动作","是","1","","","","",""
"enemy_vanguard_crush","先锋压阵","","敌人能力","单位或系统","全部剩余","0","0","0","无限","相邻敌方单位","造成4点物理伤害；施加破势","敌方全回合动作","是","1","","","","",""
"enemy_ward_mend","护障续接","","敌人能力","单位或系统","全部剩余","0","0","0","无限","4格内可见友方单位","获得4护盾","优先护盾最低且未破势友军；敌方全回合动作","是","1","","","","",""
"enemy_windlass_bolt","绞盘重矢","","敌人能力","单位或系统","全部剩余","0","0","0","无限","5格内可见敌方单位","造成5点物理伤害","要求攻击线；敌方全回合动作","是","1","","","","",""
"EQ-ACA-EQ-MH01-ACTION","学院练习剑·普通攻击","","装备动作","装备:ACA-EQ-MH01","1","0","0","0","无限","相邻可受击单体","造成8点物理伤害","无","是","1","","","","",""
"EQ-ACA-EQ-MH02-ACTION","钩刃长枪·直刺","","装备动作","装备:ACA-EQ-MH02","1","0","0","0","无限","沿所选直线恰好2格的可受击单体","造成8点物理伤害","中间格须可通行射线","是","1","","","","",""
"EQ-ACA-EQ-MH03-ACTION","刻印战锤·重击","","装备动作","装备:ACA-EQ-MH03","2","0","0","0","无限","相邻可受击单体","造成16点物理伤害；对物件造成同值耐久伤害；施法者行动条+4","同一命中对单位与物件不得分裂数值","是","1","","","","",""
"EQ-ACA-EQ-MH04-ACTION","猎团短弓·射击","","装备动作","装备:ACA-EQ-MH04","1","0","0","0","无限","菱形4格内可见可受击单体","造成6点物理伤害","要求攻击线","是","1","","","","",""
"EQ-ACA-EQ-MH05-RELOAD","绞盘重弩·上弦","","装备动作","装备:ACA-EQ-MH05","1","0","0","0","无限","自身","武器变为已上弦","仅未上弦时合法","是","1","","","","",""
"EQ-ACA-EQ-MH05-SHOT","绞盘重弩·射击","","装备动作","装备:ACA-EQ-MH05","2","0","0","0","无限","菱形5格内可见可受击单体","造成16点物理伤害；施法者行动条+4；武器变为未上弦","要求攻击线","是","1","","","","",""
"EQ-ACA-EQ-MH06-ACTION","灰炉导杖·导能击","","装备动作","装备:ACA-EQ-MH06","1","0","0","0","无限","菱形3格内可见可受击单体","造成6点以太伤害","要求攻击线","是","1","","","","",""
"EQ-ACA-EQ-OH01-ACTION","学院圆盾·架盾","","装备动作","装备:ACA-EQ-OH01","1","0","0","0","无限","自身","获得4护盾","无","是","1","","","","",""
"EQ-ACA-EQ-OH02-ACTION","石闸长盾·架盾","","装备动作","装备:ACA-EQ-OH02","1","0","0","0","无限","自身","获得4护盾","无","是","1","","","","",""
"EQ-ACA-EQ-OH03-ACTION","反握短刃·普通攻击","","装备动作","装备:ACA-EQ-OH03","1","0","0","0","无限","相邻可受击单体","造成6点物理伤害","无","是","1","","","","",""
"F-P-M01","热脉增压","本次行动可多移动2格。你下一次近战武器攻击额外造成8点火焰伤害。","个人术式-M近战","火系术式:F-P-M01","1","2","0","1自身回合","无限","自身单体；射程自身","本行动移动+2且下次相邻近战追加8点火焰伤害","平衡职责：接敌兼小爆发；状态：待固定种子验证；束缚时拒绝","是","1","突进穿刺","起手","突进","","伤害加运转"
"F-P-M02","炉压突步","沿直线突进至敌人旁边。","个人术式-M近战","火系术式:F-P-M02","1","2","0","1自身回合","无限","空格路径；射程2","直线突进至敌相邻空格但不攻击","平衡职责：纯接敌；状态：待固定种子验证；不可穿单位墙体","是","1","突进穿刺","起手","突进","","纯运转"
"F-P-M03","焦痕跃进","突进时，起点生成持续2回合的火场；路径旁的敌人各受8点伤害。","个人术式-M近战","火系术式:F-P-M03","2","3","0","2自身回合","无限","空格路径；射程3","起点留下持续2回合的火场并突进；路径正交邻接的单位与物件各承受8点伤害","平衡职责：攻击型接敌；状态：已接入待实机验收；路径终点须合法；单位与物件同值","是","1","突进穿刺","起手","突进","穿刺","伤害加运转"
"F-P-M04","热流折步","与相邻敌人交换位置。","个人术式-M近战","火系术式:F-P-M04","1","1","0","1自身回合","无限","相邻敌单体；射程1","与敌交换位置","平衡职责：换位；状态：待固定种子验证；锚定/束缚拒绝","是","1","突进穿刺","单走","","","纯运转"
"F-P-M05","爆燃追步","标记相邻敌人。它首次主动移动后，你移至它离开的格子。","个人术式-M近战","火系术式:F-P-M05","1","2","0","2自身回合","无限","相邻敌单体；射程1","目标首次主动移动后自身追1格","平衡职责：追击反应；状态：待固定种子验证；每次仅一次","是","1","突进穿刺","单走","突进","","主伤害"
"F-P-M06","熔势贯击","你的下一次近战命中对敌人施加破势。","个人术式-M近战","火系术式:F-P-M06","1","2","0","1自身回合","无限","自身附着；射程自身","下次近战命中后施加破势","平衡职责：接触破势；状态：待固定种子验证；无盾目标仍禁盾","是","1","破坏回流","起手","","破势","纯运转"
"F-P-M07","炉心穿刺","对相邻敌人造成20点武器伤害和8点火焰伤害，并施加破势。行动条+4。","个人术式-M近战","火系术式:F-P-M07","2","5","0","3自身回合","无限","相邻敌单体；射程1","造成20点武器伤害＋8点火焰伤害并施加破势；施法者行动条+4","平衡职责：爆发攻坚；状态：待同步；策划要求同次命中合并伤害包","是","1","突进穿刺","终端","燃烧","","主伤害"
"F-P-M08","炉压横扫","扇形内的敌人和友方各受12点武器伤害和4点火焰伤害。破障。","个人术式-M近战","火系术式:F-P-M08","2","3","0","2自身回合","无限","前方3格锥形；射程3","每个目标受到12点武器伤害＋4点火焰伤害且会伤及友军","平衡职责：近距范围；状态：待固定种子验证；重掩体截断","是","1","破坏回流","过渡","破障","","伤害加运转"
"F-P-M09","热震重击","对相邻敌人造成16点武器伤害和8点火焰伤害，并将其推开1格。行动条+4。破障。","个人术式-M近战","火系术式:F-P-M09","2","4","0","2自身回合","无限","相邻敌单体；射程1","造成16点武器伤害＋8点火焰伤害并推1格；施法者行动条+4","平衡职责：击退重击；状态：待同步；策划要求同次命中合并伤害包","是","1","破坏回流","过渡","破障","","伤害加运转"
"F-P-M10","熔隙刺击","相邻敌人处于破势时受到20点武器伤害，否则受到12点。","个人术式-M近战","火系术式:F-P-M10","1","2","0","1自身回合","无限","相邻敌单体；射程1","对破势目标造成20点武器伤害；否则造成12点武器伤害","平衡职责：破势收割；状态：待固定种子验证；不消费破势","是","1","突进穿刺","过渡","","破势","伤害加运转"
"F-P-M11","热障架势","持续至下次行动。首次受到远程伤害前获得8点护盾。","个人术式-M近战","火系术式:F-P-M11","1","2","0","2自身回合","无限","自身姿态；射程自身","首次远距受伤前获得8盾","平衡职责：反远程防御；状态：待固定种子验证；相邻伤害不触发","是","1","破坏回流","单走","","","纯运转"
"F-P-M12","余烬格挡","获得12点护盾。首次相邻攻击结算后，再获得4点护盾。","个人术式-M近战","火系术式:F-P-M12","1","2","0","2自身回合","无限","自身姿态；射程自身","先得12盾且近战命中后再得4盾","平衡职责：攻防转盾；状态：待固定种子验证；普通盾下回合开始清除","是","1","破坏回流","单走","","","纯运转"
"F-P-M13","炉心反击","首次受到相邻攻击时反击，造成12点武器伤害和4点火焰伤害。","个人术式-M近战","火系术式:F-P-M13","1","3","0","3自身回合","无限","自身姿态；射程自身","首次受到相邻攻击后反击并造成12点武器伤害＋4点火焰伤害","平衡职责：近战反应；状态：待固定种子验证；远程不触发","是","1","突进穿刺","过渡","","","伤害加运转"
"F-P-M14","灼缚解离","解除自身束缚，对相邻敌人造成8点火焰伤害。","个人术式-M近战","火系术式:F-P-M14","1","2","0","2自身回合","无限","相邻敌单体；射程1","清除自身束缚并对敌人造成8点火焰伤害","平衡职责：脱困；状态：待固定种子验证；无束缚不可施放","是","1","破坏回流","单走","","","纯运转"
"F-P-M15","焰压退击","对相邻敌人造成8点火焰伤害，并将其推开1格。破障。","个人术式-M近战","火系术式:F-P-M15","1","2","0","1自身回合","无限","相邻敌单体；射程1","造成8点火焰伤害并推1格","平衡职责：脱离；状态：待固定种子验证；撞玩法物块时双方各受4点碰撞伤害，其他非法格只取消位移","是","1","破坏回流","过渡","破障","","伤害加运转"
"F-P-M16","燃势收割","对燃烧的敌人造成16点武器伤害和8点火焰伤害。","个人术式-M近战","火系术式:F-P-M16","1","2","0","1自身回合","无限","相邻燃烧敌；射程1","造成16点武器伤害＋8点火焰伤害且保留燃烧","平衡职责：燃烧直伤收益；状态：待固定种子验证；需燃烧前置","是","1","燃烧火场","过渡","燃烧","","伤害加运转"
"F-P-M17","焦甲吸热","对燃烧的敌人造成12点火焰伤害，移除其燃烧，并获得12点护盾。","个人术式-M近战","火系术式:F-P-M17","0","0","0","0自身回合","无限","相邻燃烧敌；射程1","造成12点火焰伤害、消费燃烧并获得12点护盾","平衡职责：燃烧转盾；状态：待固定种子验证；需燃烧前置","是","1","燃烧火场","过渡","燃烧","","伤害加运转"
"F-P-M18","火场踏行","沿相连的火场移动3格。","个人术式-M近战","火系术式:F-P-M18","1","1","0","1自身回合","无限","燃烧格路径；射程3","沿连续火场移动且不触发该火场伤害","平衡职责：火场机动；状态：待固定种子验证；不可穿单位墙体","是","1","突进穿刺","单走","火场","","纯运转"
"F-P-M19","炉心超限","直线突进至首个敌人前一格，造成24点武器伤害和12点火焰伤害；失去8点生命（无视护盾）。行动条+8。","个人术式-M近战","火系术式:F-P-M19","2","4","0","4自身回合","无限","敌人路径；射程3","移动后造成24点武器伤害＋12点火焰伤害且自身失去8点生命；施法者行动条+8","平衡职责：越限终结；状态：待同步；生命不足9拒绝；策划要求合包","是","1","突进穿刺","终端","突进","","主伤害"
"F-P-M20","终炉断击","对燃烧或破势的相邻敌人造成28点武器伤害和12点火焰伤害。行动条+8。","个人术式-M近战","火系术式:F-P-M20","2","5","0","4自身回合","无限","燃烧或破势敌；射程1","造成28点武器伤害＋12点火焰伤害并消费燃烧；施法者行动条+8","平衡职责：条件终结；状态：待同步；策划标称40点单次伤害包","是","1","突进穿刺","终端","燃烧","","主伤害"
"F-P-M21","折线突步","沿可通行路径移动最多3格，路径可有一次直角转向；不造成伤害。","个人术式-M近战","火系术式:F-P-M21","1","2","0","2自身回合","无限","空格路径；总长3，允许一次直角转向","沿可通行路径移动最多3格，路径可有一次直角转向；不造成伤害。","逐格检查；不可穿单位、重掩体或永久墙。；完整显示折线路径与每格敌方反应范围。；审核通过，已接入战斗结算与靶场测试，待正常流程实机验收","是","1","突进穿刺","稳定骨架","","",""
"F-P-M22","越障跃步","跳跃至目标格；可越过恰好1个单位或轻掩体，但不可越过重掩体与永久墙。","个人术式-M近战","火系术式:F-P-M22","1","4","0","2自身回合","无限","2格内可站立空格","跳跃至目标格；可越过恰好1个单位或轻掩体，但不可越过重掩体与永久墙。","只检查起点、越过格与落点；不触发越过格的进入效果。；落点仍会触发进入效果和公开反应。；审核通过，已接入战斗结算，待正常流程实机验收","是","1","突进穿刺","空间转化","","",""
"F-P-M23","擦锋穿行","直线突进最多3格；实际路径正交邻接的敌人各受到8点武器伤害。","个人术式-M近战","火系术式:F-P-M23","2","4","0","2自身回合","无限","直线空格路径；射程3","直线突进最多3格；实际路径正交邻接的敌人各受到8点武器伤害。","每个敌人每次至多受伤1次；不伤友军和物件。；路径相邻伤害不能绕过永久墙。；审核通过，已接入战斗结算，待正常流程实机验收","是","1","突进穿刺","空间转化","","",""
"F-P-M24","余势回身","下一次突进完整结算后，可沿实际路径向起点方向回退1格。","个人术式-M近战","火系术式:F-P-M24","1","1","0","1自身回合","无限","自身附着","下一次突进完整结算后，可沿实际路径向起点方向回退1格。","回退格须合法；不重新触发路径伤害。；回退仍属于移动，会触发落点进入效果。；审核通过，已接入战斗结算与靶场测试，待正常流程实机验收","是","1","突进穿刺","独立收益","","",""
"F-P-M25","侧压落步","直线突进最多2格；落点正交相邻单位向远离落点方向推1格，不造成伤害。","个人术式-M近战","火系术式:F-P-M25","1","3","0","2自身回合","无限","直线空格路径；射程2","直线突进最多2格；落点正交相邻单位向远离落点方向推1格，不造成伤害。","敌我同样推动；非法落点只取消对应位移。；四向同时结算，先预览每个单位的落点。；审核通过，已接入战斗结算，待正常流程实机验收","是","1","突进穿刺","稳定骨架","","",""
"F-P-M26","迎锋架势","下一次完成突进后获得被动反击：直到下次自身回合开始，首次受到相邻敌人的主动攻击后，对攻击者造成12点武器伤害。","个人术式-M近战","火系术式:F-P-M26","1","3","0","3自身回合","无限","自身姿态","下一次完成突进后获得被动反击：直到下次自身回合开始，首次受到相邻敌人的主动攻击后，对攻击者造成12点武器伤害。","反击在攻击完整结算后触发；姿态触发1次。；被动反击不触发另一被动反击，也不消耗攻击附着。；审核通过，已接入战斗结算，待正常流程实机验收","是","1","突进穿刺","构筑终结","","",""
"F-P-R01","火弹","对敌人造成12点火焰伤害。","个人术式-R远程","火系术式:F-P-R01","1","1","0","0自身回合","无限","可见敌单体；射程3","造成12点火焰伤害","平衡职责：短程直伤；状态：待固定种子验证；不点燃","是","1","破坏回流","终端","","","主伤害"
"F-P-R02","火矢","对敌人造成8点火焰伤害。","个人术式-R远程","火系术式:F-P-R02","1","1","0","0自身回合","无限","可见敌单体；射程5","造成8点火焰伤害","平衡职责：长程直伤；状态：待固定种子验证；以伤害换射程","是","1","破坏回流","终端","","","主伤害"
"F-P-R03","烙印","使敌人燃烧1回合。","个人术式-R远程","火系术式:F-P-R03","1","2","0","0自身回合","无限","可见敌单体；射程3","施加燃烧8且持续1回合（无直伤）","平衡职责：燃烧建立；状态：待固定种子验证；受掩体/免疫反制","是","1","燃烧火场","起手","燃烧","","纯运转"
"F-P-R04","火种","使敌人燃烧2回合。","个人术式-R远程","火系术式:F-P-R04","1","1","0","1自身回合","无限","可见敌单体；射程4","燃烧8持续2回合且无直伤","平衡职责：燃烧维持；状态：待固定种子验证；不造火场","是","1","燃烧火场","起手","燃烧","","纯运转"
"F-P-R05","余烬火弹","对敌人造成16点火焰伤害。敌人已燃烧时，燃烧至少持续2回合。","个人术式-R远程","火系术式:F-P-R05","2","3","0","1自身回合","无限","可见敌单体；射程4","造成16点火焰伤害；目标已燃烧时延长至至少2回合","平衡职责：直伤兼维持；状态：待固定种子验证；不提高燃烧强度","是","1","燃烧火场","过渡","燃烧","","伤害加运转"
"F-P-R06","焰线","直线4格内单位与可破坏物各受到8点火焰伤害；首个重掩体截断后续格。","个人术式-R远程","火系术式:F-P-R06","2","3","0","2自身回合","无限","直线4格；射程4","直线4格内单位与可破坏物各受到8点火焰伤害；首个重掩体截断后续格。","首重掩体截断且伤友军；伤及友军和宝箱；每个对象每次只结算1次。；已接入审核稿结算，待正常流程实机验收","是","1","破坏回流","过渡","破障","","伤害加运转"
"F-P-R07","火焰喷射","扇形内的敌人和友方各受8点火焰伤害。破障。","个人术式-R远程","火系术式:F-P-R07","1","2","0","0自身回合","无限","前方3格锥形；射程3","锥形范围内每个单位受到8点火焰伤害","平衡职责：近距锥形；状态：待固定种子验证；伤友军","是","1","破坏回流","起手","破障","","伤害加运转"
"F-P-R08","点燃喷射","扇形内的敌人燃烧1回合。","个人术式-R远程","火系术式:F-P-R08","2","3","0","2自身回合","无限","前方3格锥形；射程3","锥形内敌人获得燃烧8且持续1回合（无直伤）","平衡职责：范围点燃；状态：待固定种子验证；友军只受直伤","是","1","燃烧火场","起手","燃烧","","纯运转"
"F-P-R09","焰击术","对敌人造成20点火焰伤害。行动条+4。","个人术式-R远程","火系术式:F-P-R09","2","3","0","1自身回合","无限","可见敌单体；射程3","造成20点火焰伤害；施法者行动条+4","平衡职责：延时爆发；状态：待固定种子验证；轻延时公开","是","1","破坏回流","终端","","","主伤害"
"F-P-R10","熔势射流","对敌人造成12点火焰伤害并施加破势。行动条+4。","个人术式-R远程","火系术式:F-P-R10","2","4","0","3自身回合","无限","可见敌单体；射程3","造成12点火焰伤害后施加破势；施法者行动条+4","平衡职责：远程攻坚；状态：待固定种子验证；破势不回溯本次伤害","是","1","破坏回流","过渡","","破势","伤害加运转"
"F-P-R11","火带","生成3格火场，持续3回合。","个人术式-R远程","火系术式:F-P-R11","2","4","0","2自身回合","无限","连续3格；射程4","生成3格持续3回合的火场","平衡职责：线形封锁；状态：待固定种子验证；可绕行/灭火","是","1","燃烧火场","单走","火场","","纯运转"
"F-P-R12","火路","沿直线生成4格火场，持续2回合。","个人术式-R远程","火系术式:F-P-R12","1","2","0","1自身回合","无限","直线4格；射程4","生成4格持续2回合的火场","平衡职责：切线封锁；状态：待固定种子验证；实体墙截断","是","1","燃烧火场","单走","火场","","纯运转"
"F-P-R13","灼域火钉","在目标格生成持续4回合的火场。","个人术式-R远程","火系术式:F-P-R13","1","4","0","3自身回合","无限","空地单格；射程3","生成1格持续4回合的火场","平衡职责：守点火场；状态：待固定种子验证；仅空地","是","1","燃烧火场","单走","火场","","纯运转"
"F-P-R14","炽焰墙","生成5格火场，持续4回合。你的行动条增加4点。","个人术式-R远程","火系术式:F-P-R14","2","6","0","4自身回合","无限","连续5格；射程5","生成5格持续4回合的火场；施法者行动条+4","平衡职责：大型线封锁；状态：待固定种子验证；轻延时","是","1","燃烧火场","终端","火场","","主伤害"
