"敌人","敌人分类","意图名字","意图效果描述","被动","状态"
"老库管","精英封存保管","退件","清除场上一个场地效果或装置，双方来源均包括；优先清除玩家角色本回合新生成的一个。","无","场地效果；装置。"
"老库管","精英封存保管","登记","为目标挂待检定标记；标记期间其下一次获得的护盾被优先清除。","无","待检定标记；护盾。"
"老库管","精英封存保管","应对·场地效果生成时退件","玩家角色本回合生成场地效果或放置装置后，下回合优先退掉该效果或装置。","无","场地效果；装置。"
"灯台值守","普通郊野值守","转镜","投出直线6格并随观测方向转动的光柱；自身回合结束时柱上单位受到5点以太伤害；被重掩体、建筑或灯藤遮断处形成暗段。","无","光柱；暗段；重掩体；灯藤。"
"灯台值守","普通郊野值守","应对·借暗段绕行时转动光柱","玩家角色结束移动时不在光柱照明格内（包括借遮蔽形成的暗段）后，转动光柱至其新路线；每场最多2次，方向未变时不消耗次数。","无","光柱；暗段。"
"补盾助教","普通支援","护障蓄能","成长意图：施加护盾授予+1，持续至战斗结束；每场最多一次，不造成伤害。","借墙：一段掩体被拆除时获得4护盾。","护盾授予+1。"
"补盾助教","普通支援","覆障投射","以一名友军为中心，对其正交相邻且满足贴墙条件的友军各提供2护盾；不对单位造成伤害。","借墙：一段掩体被拆除时获得4护盾。","友军中心十字范围；护盾。"
"侧锋生","普通学生","侧锋蓄势","成长意图：施加力量+1，持续至战斗结束；每场最多一次，不造成伤害。","无","力量+1。"
"侧锋生","普通学生","钩刃扫切","对前方3格扇形内单位各造成2点物理伤害；中心格目标额外被束缚1回合；攻击前公开扇形范围。","无","前方3格扇形；中心目标束缚1回合。"
"灯台值守","普通郊野值守","灯台升压","成长意图：施加法强+1，持续至战斗结束；每场最多一次，不造成伤害。","无","法强+1。"
"灯台值守","普通郊野值守","转镜扫照","公开直线6格光柱；自身回合结束时，光柱内单位各受到5点以太伤害；遮挡处形成暗段。","无","直线6格；每目标5点以太伤害；光带与暗段。"
"盾术生","普通学生","整盾成长","成长意图：施加力量+1与护盾效能+1，持续至战斗结束；立即获得2护盾；每场最多一次。","回合整盾：自身回合开始获得2护盾。","力量+1；护盾效能+1；立即获得2护盾。"
"盾术生","普通学生","盾面横扫","前方3格扇形内单位各受到2点物理伤害；施加敏捷-1，持续1回合。","回合整盾：自身回合开始获得2护盾。","前方3格扇形；敏捷-1。"
"火矢生","普通学生","火矢蓄热","成长意图：施加法强+1，持续至战斗结束；每场最多一次，不造成伤害。","无","法强+1。"
"火矢生","普通学生","爆炎散射","对目标格与其正交相邻格内单位各造成3点火焰伤害，并施加燃烧2，持续2个目标自身回合；攻击前公开范围。","无","目标格加正交邻格；燃烧2，持续2个目标自身回合。"
"替身偶","训练构造物","重锤蓄势","成长意图：施加力量+1，持续至战斗结束；每场最多一次，不造成伤害。","无","力量+1。"
"替身偶","训练构造物","锤印震环","自身周围正交相邻单位各受到2点物理伤害并施加破势。","无","自身周围正交4格；破势。"
"寻迹兽","普通魔法生物","猎意增长","成长意图：施加力量+1与敏捷+1，持续至战斗结束；每场最多一次，不造成伤害。","搜查：目标藏入灯藤时改赴已知入口搜查；命中摧毁该格灯藤并伤害同格单位。","力量+1；敏捷+1。"
"寻迹兽","普通魔法生物","缚环低吼","自身周围正交相邻单位各被束缚1回合；施放前公开十字范围。","搜查：目标藏入灯藤时改赴已知入口搜查；命中摧毁该格灯藤并伤害同格单位。","自身周围正交4格；束缚1回合。"
"划线教官","精英教职","阵列加固","成长意图：施加力量+2与护盾效能+1，持续至战斗结束；立即获得4护盾；每场最多一次。","守位：站于本单位所筑墙旁时，回合开始额外获得4护盾。","力量+2；护盾效能+1；立即获得4护盾。"
"划线教官","精英教职","封线夯墙","在公开的直线3格内生成最多3段耐久12的临时重掩体；不造成伤害。","守位：站于本单位所筑墙旁时，回合开始额外获得4护盾。","直线3格；最多生成3段重掩体。"
"拴索助教","普通控制","石索蓄能","成长意图：施加控制+1，持续至战斗结束；每场最多一次，不造成伤害。","无","控制+1。"
"拴索助教","普通控制","石索封线","在公开的直线3格内生成约束纹场地效果，持续2回合；进入格子的单位束缚1回合；执行前公开完整范围与实际可放置格。","无","约束纹场地效果持续2回合；进入者束缚1回合。"
"提灯巡查","普通支援","灯芯增亮","成长意图：施加法强+1，持续至战斗结束；每场最多一次，不造成伤害。","无","法强+1。"
"提灯巡查","普通支援","双灯扫照","投出两条平行3格光线；光线内单位各受到1点奥术伤害、清空护盾并被标记1回合；遮挡处不生效。","无","两条平行3格线；清空护盾；标记1回合。"
"背弩生","普通学生","绞盘上紧","成长意图：施加力量+2，持续至战斗结束；每场最多一次，不造成伤害。","退距：相邻或无攻击线时公开后退1格并重新架设。","力量+2。"
"背弩生","普通学生","裂矢","对目标格造成3点物理伤害，并对目标格正交相邻单位各造成3点物理伤害；攻击前公开中心格与范围。","退距：相邻或无攻击线时公开后退1格并重新架设。","目标格加正交邻格；物理伤害。"
"试制员","精英工坊试制岗","过载校准","成长意图：施加法强+2，持续至战斗结束；每场最多一次，不造成伤害。","布放：每自身回合布放1件试制件，全场最多4件；试制件可被双方拆除。","法强+2。"
"试制员","精英工坊试制岗","连锁过载","引爆目标过载装置及与其正交相邻的另一件过载装置；每件对正交邻接单位各造成8点以太伤害，敌我一致；每次最多引爆2件。","布放：每自身回合布放1件试制件，全场最多4件；试制件可被双方拆除。","每件装置正交邻格；每件8点以太伤害；至多2件。"
"老库管","精英封存保管","检定加压","成长意图：施加法强+2，持续至战斗结束；每场最多一次，不造成伤害。","退件：每回合清除场上一个场地效果或装置。","法强+2。"
"老库管","精英封存保管","旧脉冲","沿公开的正交直线4格内每个单位各受到7点以太伤害，并被清空护盾、施加破势；物块截断。","退件：每回合清除场上一个场地效果或装置。","正交直线4格；每目标7点以太伤害；破势。"
"老寻","精英兽类","猎群本能","成长意图：施加力量+2与敏捷+1，持续至战斗结束；每场最多一次，不造成伤害。","留味：玩家角色经过的每格留下持续3回合的气味痕。","力量+2；敏捷+1。"
"老寻","精英兽类","环鸣","标记4格内所有单位1回合；被标记单位藏身无效。","留味：玩家角色经过的每格留下持续3回合的气味痕。","范围4格；标记1回合；藏身无效。"
"楔角","精英构装体","冲压蓄能","成长意图：施加力量+2，持续至战斗结束；每场最多一次，不造成伤害。","锁线：意图生成时公开目标格与路线；浅水冲压不触发干地卸压。","力量+2。"
"楔角","精英构装体","贯场冲压","沿公开锁定路线推进最多5格；首个可受击单位或物件受到8点物理伤害，目标为单位时沿最后一步方向推1格。","锁线：路线与目标公开；非浅水终点清空自身护盾并施加护盾禁得至下个自身回合结束。","公开路线最多5格；首目标8点物理伤害；推1格。"
"小铃","精英图书管理员（风系）","风场增强","成长意图：施加法强+2，持续至战斗结束；每场最多一次，不造成伤害。","换风：每场最多3次，公开改变风向与风级；只搬动散页、碎晶、烟尘。","法强+2。"
"小铃","精英图书管理员（风系）","引火","将已着火散页沿公开风向移动最多3格；沿途与终点单位各受到6点火焰伤害，终点生成火场。","换风：每场最多3次，公开改变风向与风级；只搬动散页、碎晶、烟尘。","沿风向最多3格；每次命中6点火焰伤害；生成火场。"
"塔之守卫","固定首领","维护增压","成长意图：施加力量+2与法强+2，持续至战斗结束；进入阶段二时触发一次，不造成伤害。","放行·护障维护／显影巡查／冲压隔离；并链：阶段二每次出手时，已放行机关同时结算。","力量+2；法强+2。"
"塔之守卫","固定首领","塔压","沿核心至玩家角色的正交直线最多6格；每个命中单位受到5+已放行机关数点以太伤害（阶段一上限8，阶段二法强+2后上限10）；被物块遮挡处截断。此意图占用本单位当回合出手，不在回合开始额外自动结算。","放行·护障维护／显影巡查／冲压隔离；并链：阶段二每次出手时，已放行机关同时结算。","正交直线最多6格；阶段一每目标5–8点，阶段二每目标7–10点以太伤害。"
