"装备ID","名称","类别","品质","槽位","占格","重量","技能ID","被动ID","属性修正","规则说明","来源","启用","版本"
"ACA-EQ-HN01","行进握带","待重归类","原手部","待重归类","2×1","1","无","PASSIVE-ACA-EQ-HN01","无","每个自己回合第一次在移动后提交的武器攻击追加 2 点物理伤害","当前不投放","否","1"
"ACA-EQ-HN02","回授护臂","待重归类","原手部","待重归类","2×1","2","无","PASSIVE-ACA-EQ-HN02","无","每个自己回合第一次防御性个人术式成功结算后获得 2 护盾","当前不投放","否","1"
"ACA-EQ-LG01","石路行靴","防具","蓝","鞋","2×2","2","无","PASSIVE-ACA-EQ-LG01","无","每个自己回合第一次移动行动的步数 +1","无固定盾；商店、普通战利品","是","1"
"ACA-EQ-LG02","定锚胫甲","防具","紫色命名","鞋","2×2","3","无","PASSIVE-ACA-EQ-LG02","无","每个敌方行动中第一次受到强制位移时，位移距离 -1，最低 0","无固定盾；石闸事件、精英","是","1"
"ACA-EQ-MH01","学院练习剑","武器","白","武器","1×3","2","EQ-ACA-EQ-MH01-ACTION","无","无","普通攻击：1 AP，对相邻单体造成 8 点物理伤害","开局库存、普通战利品、商店","是","1"
"ACA-EQ-MH02","钩刃长枪","武器","蓝","武器","1×3","3","EQ-ACA-EQ-MH02-ACTION","无","无","普通攻击：1 AP，只能攻击沿所选直线恰好 2 格的单体，造成 8 点物理伤害；中间格须可通行射线","商店、猎团事件、普通战利品","是","1"
"ACA-EQ-MH03","刻印战锤","武器","蓝","武器","2×3","4","EQ-ACA-EQ-MH03-ACTION","无","无","重击：2 AP，对相邻单体造成 16 点物理伤害，轻延时 +4；对掩体、障碍和设备另造成 16 点物件耐久伤害","工坊、破坏任务、精英战利品","是","1"
"ACA-EQ-MH04","猎团短弓","武器","白","武器","2×3","2","EQ-ACA-EQ-MH04-ACTION","无","无","普通攻击：1 AP，对 4 格内可见单体造成 6 点物理伤害","开局库存、商店、普通战利品","是","1"
"ACA-EQ-MH05","绞盘重弩","武器","蓝","武器","2×3","4","EQ-ACA-EQ-MH05-SHOT|EQ-ACA-EQ-MH05-RELOAD","无","无","射击：2 AP，对 5 格内可见单体造成 16 点物理伤害，轻延时 +4，随后变为未上弦；上弦：1 AP，无目标","商店、石闸战利品、精英奖励","是","1"
"ACA-EQ-MH06","灰炉导杖","武器","紫色命名","武器","1×3","2","EQ-ACA-EQ-MH06-ACTION","PASSIVE-ACA-EQ-MH06","无","导能击：1 AP，对 3 格内可见单体造成 6 点以太伤害；每个自己回合首次命中燃烧目标后恢复 1 魔力","刻阵工坊、精英；事件或商店来源待定","是","1"
"ACA-EQ-OH01","学院圆盾","武器","白","武器","2×2","2","EQ-ACA-EQ-OH01-ACTION","无","无","架盾：1 AP、0 魔力，获得 4 普通护盾","普通战利品、商店","是","1"
"ACA-EQ-OH02","石闸长盾","武器","蓝","武器","2×3","4","EQ-ACA-EQ-OH02-ACTION","无","无","架盾：1 AP、0 魔力，获得 4 普通护盾；蓝色价值来自 1 个可变词条，不额外隐藏加盾","石闸商店、守备事件、精英战利品","是","1"
"ACA-EQ-OH03","反握短刃","武器","蓝","武器","1×2","1","EQ-ACA-EQ-OH03-ACTION","无","无","普通攻击：1 AP，对相邻单体造成 6 点物理伤害","商店、猎团事件、普通战利品","是","1"
"ACA-EQ-OH04","导流副环","施法单元","紫色命名","施法单元","1×1","1","无","PASSIVE-ACA-EQ-OH04","无","每个自己回合第一次施放 U 线武器附着术式时，魔力成本 -1，最低为 1","刻阵工坊、精英奖励；事件或商店来源待定","是","1"
