"优先级","批次","资产域","范围或ID","数量","规格","现有状态","正式生产动作","验收出口"
"P2","A02 启动与地图入口","学院地图节点系统","8种节点类型＋状态外框＋路线＋当前位置","1套","类型48×48；状态独立；路线与节点不烘焙成整图","8种类型图标、路线、区域图标和多组状态资源已存在","战斗地图和敌人主线完成后核对旧服务／宝藏残留","约30节点地图在1×与6×下类型、可达、完成、锁定可区分"
"P2","A03 共用界面闭环","像素UI皮肤","面板／按钮／标签／槽位／血盾魔条／奖励态／危险态","1套","原生16／32像素九宫格与语义控件","FormalUISkin16已有30项；导航与反馈图标已有正式资源","保持冻结，仅修复会阻断战斗可读性的控件缺口","战斗、奖励、背包、事件、服务和结算不混用不一致边框"
"P0","A03 共用界面闭环","战斗语义图标","命令／意图／状态／反馈／资源","现有集合＋缺口","16×16语义图最多4色；32×32信息图按合同","正式目录已有命令6、意图5、状态6、反馈14、资源15","根据首轮四战实际显示逐项做覆盖表，只补缺口","所有真实规则可由图标＋悬停说明读取，不以颜色单独表达"
"P0","B01 第一阶段战斗池","第一阶段敌人静态单位","学院敌人17个","17套","32 PPU侧视；逻辑占格独立","10个权威ID有同名正式静态资源；elite_vanguard与prototype_hand已产出32×64正式候选资产但按当前范围不导入Unity；4个新单位仍缺专属资产；breach_ram旧候选被拒绝","继续补elder_tracker_hound／signal_keeper，再补wind_librarian／legacy_storekeeper；breach_ram保持阻塞；本轮只交付资产与QA证据","17个敌人均有身份正确、规格一致、可独立审阅的专属资产"
"P1","B01 第一阶段战斗池","敌人动作与状态姿态","玩家1＋敌人17","18套","待机／移动／普通攻击／专属动作／受击／倒地；只做玩法实际需要的差异帧","FormalEnemyAnimations64为空","先按教程5单位，再按E01–E03和B01扩展；相同结算可复用动作，不为数值差异复制动画","动作不延迟或伪造结算，状态姿态能支持公开意图"
"P0","B01 第一阶段战斗池","通用场地库","地图元素21条","21类","地表32×32；物块32 PPU；环境状态为UI读数与场内表现分离","已有大量学院地形、结构与语义图标；不可破坏柱状墙仍是程序占位","先替换不可破坏柱状墙，再逐ID绑定完整／受损／移除或覆盖状态","每条元素有唯一运行时资源映射与实际应用证据"
"P0","B01 第一阶段战斗池","区域地表与结构套件","中庭／教学／工坊／医务／郊野／封存塔核心","6套","统一斜俯视、左上光、32 PPU；地面墙体与物件职责分离","学院通用地面73、结构97、独立地面16等正式资源可复用","按6区域建立材质色族和复用矩阵；只补不能由现有模块表达的区域识别件","17个战斗内容在复用中仍能一眼识别区域与玩法空间"
"P0","B01 第一阶段战斗池","关卡应用组合","FIRST四战＋学院层12个普通节点＋4个精英节点＋B01","21张节点应用","默认25–36格；复杂机制图40–50格；原生坐标表、绘制顺序、1×／6×接触图","关卡布局与部分底图已在Unity；统一美术接触证据未完成","按教程四战→4个精英节点→B01→12个普通节点建立组合manifest","可走格、阻挡、点击、遮挡与审美同时通过"
"P2","B02 事件与服务","事件插图","EV01–EV08","8张","480×270原生背景基线或页面合同尺寸；无正文烘焙","尚无按事件ID登记的正式插图","战斗地图和敌人主线完成后再生产","事件不靠通用空插图，选择前不泄露结果"
"P1","B02 事件与服务","服务节点场景与标识","W01／S01／SHOP01及共用服务页","3套","工坊／医务室／商店各有明确岗位、材料和功能焦点","已有通用UI与大量学院结构素材；服务专属应用未闭环","优先组合现有正式家具与界面，再补岗位识别物和背景","锻造、治疗／餐食、购买在一秒内可区分"
"P1","B02 事件与服务","餐食与消耗品图标","餐食8＋阶段实际投放消耗品","按数据表","固定32×32；单物件；5–8色","资源与物品图标已有部分，餐食逐ID映射待核对","补缺失图标并绑定商店、医务室、背包同一ID","购买卡、状态和背包图标一致"
"P1","B03 构筑内容","全阶段术式图标","当前67个术式","67张","固定32×32；功能剪影优先；元素色只是辅助","FormalSkillIcons32为空","按教程可见→第一阶段奖励池→其余条目三批生产","1×下不靠名称也能区分作用类别与目标方式"
"P1","B03 构筑内容","法宝与装备图标","法宝20＋学院装备33","53张＋占格图","固定32×32；装备另有背包占格","20件法宝、33件装备及33张装备占格图已在正式目录","冻结并做ID、GUID、Importer与实际页面复核；不重复生成","奖励、背包、工坊、商店一致且无回退图标"
"P1","B04 首领与结算","首领与机关表现","core_overseer＋塔内机关3组＋护障墙／显影光带／冲压线／塔压／并链","1首领＋3机关＋5表现族","单位32 PPU；机关按物块；线路与VFX 32 PPU／32×32帧","首领静态单位存在；机关和阶段表现未形成完整正式套件","先补三机关差异和阶段切换，再补五类结算表现","B01三阶段全部公开且不依赖文本猜测"
"P1","B04 首领与结算","单轮总结与失败表现","F60／F61","2套页面表现","复用正式UI皮肤；插图不得改变真实结果","正式settlement／archive背景可复用","补胜利、失败、放弃三种状态标识与实际数据接触验收","奖励阻塞、路线、构筑和资源记录清晰"
"P2","C01 最终表现收口","局内对话表现","四场固定战斗＋后续配置内容","共用1套","来源头像／姓名／字幕框；不推进战斗状态","规则已定义；具体台词和角色头像覆盖未齐","等具体台词冻结后补头像映射，不提前虚构","跳过与播放后战斗状态完全相同"
"P2","C01 最终表现收口","环境与界面动效","地图展开／节点状态／奖励／服务／战斗反馈","按事件族","整数像素位移；禁非整数缩放；真实结算驱动","静态资产多，统一动效闭环不足","静态资产完成后按事件族实现，不为每页面重复做动画","1×／2×／4×及6×标准显示无抖动或半像素"
