"ID","slug","名称","元素工程","来源与稀有度","占格重量","AP与次数","内容池","目标与合法性","确定性效果","代价风险反制","构筑用途"
"G-T10","reaction_bell","截击铃","通用；风相位声压","边境猎团，当代制作，稀有","1×2 / 1","2 / 2","精英、宝藏、首领奖励","标记 3 格内可见空格，持续至使用者下一次行动；已有同类标记时非法","首个敌人进入标记格时受 12 伤并被沿进入方向推 1 格，随后消耗反应","2 AP；绕行、远攻、先占格或让不重要单位触发可反制；推位遇阻时只结算伤害","唯一入格截击反应；警戒路线、守点、打断突进"
"G-T11","hazard_condenser","险地冷凝器","通用；水相位冷凝","消防与勘验人员共制，当代制作，普通","2×2 / 2","1 / 4","普通奖励、商店、环境战利品","3 格内目标格及正交邻格；范围至少含一格临时燃烧地格或烟尘","移除范围内的临时燃烧地格与烟尘；不改变水面、冰面、强光区、暗区、导电路径、永久/任务地形或单位状态","1 AP；会同时清掉己方利用的火场或烟尘；再次铺设、利用其他地形标签和迫使其离场可反制","唯一指定环境清理；安全通路、救援、克制火场/烟尘构筑"
"G-T12","turn_ledger","行程簿","通用；风相位动量调度","失落人类文明行旅遗物，远古，稀有","2×1 / 1","1 / 2","宝藏、首领奖励","自身；本行动尚能继续执行命令","支付 1 AP 后立即获得 2 AP，本行动净增加 1 AP；下一次行动延后 8 刻度","强延时公开；敌人可利用长空窗反攻，控制或逼迫其先防守可降低收益","唯一 AP 跨时调度；爆发回合、任务互动链、风险运营"
"G-T13","anchor_brace","定锚支架","通用；土相位锚定","驿站装卸工坊，当代制作，少见","2×2 / 2","0 / 4 反应","普通/精英奖励、商店","装备于快捷栏；使用者即将受到一次推或拉","自动抵消这次强制位移并消耗 1 次；无触发时不耗次","不防主动移动、位置交换、移相位移、伤害或状态；多次推拉可逐次耗尽","唯一有限次数防位移反应；站桩、护送、边界安全"
"G-T14","prism_regulator","棱返调节器","通用；光相位折返","光学师行会，当代制作，稀有","2×1 / 1","1 / 2","精英、宝藏","自身架势，持续至下一次行动","首次受到有来源且在视线内的远程伤害前获得 8 临时护盾，本次伤害按护盾优先公式结算；随后对攻击者返还 8 伤害并消耗反应","1 AP；不是固定减伤；未吸收完的护盾遵守普通护盾清除时点。近战、遮断视线、无来源环境伤害或等待架势结束可反制","唯一远程折返反应；抗射手、逼迫换位、风险对射"
"G-T15","decoy_lantern","诱导灯","通用；光相位诱导","商队驱兽灯改型，当代制作，少见","1×2 / 2","2 / 2","商店、商队事件、宝藏","3 格内可见、未占用空格","部署 12 耐久的无智能诱导灯；敌方意图将其视为高优先可攻击目标；在使用者下一次行动结束后移除","2 AP；占格、可被任意方摧毁且不控制魔法生物；范围伤害与绕开诱饵可反制","唯一诱饵部署；分担火力、改敌意图、保护目标"
"G-T16","shield_balancer","护盾均衡阀","通用；光相位护幕","医护护具工坊，当代制作，少见","2×2 / 2","1 / 3","精英、医护事件、商店","3 格内可见友军；双方护盾值不同","合并使用者与目标的当前护盾并尽量均分；奇数余 1 留给原护盾较高者；总护盾不变","1 AP；可能主动降低使用者护盾；集火低盾者或破坏视线可反制","唯一两单位护盾重分配；救援、护盾资源调度"
"G-T17","seismic_plumb","震测铅锤","通用；土相位震荡","失落人类文明测绘遗物，远古，稀有","1×3 / 3","2 / 2","宝藏、精英、首领奖励","3 格内可见地格；目标格及正交邻格至少有一个单位","范围内所有单位的下一次行动各延后 4 刻度；敌我全部生效，同刻度仍按稳定单位 ID 排序","2 AP；友军同受影响；分散、诱导玩家覆盖自己与抢先行动可反制","唯一范围行动条延后；控制、打断敌群窗口、次序重排"
"G-T18","null_veil","静默幕","通用；暗相位吸收","失落人类文明封存布，远古，少见","3×2 / 2","1 / 2","宝藏、遗迹事件、精英奖励","待重写","待重写：原效果使用已删除的眩目与显形状态","待重写","保留条目编号，不作为当前可用内容"
"G-T19","fortune_seal","冒险封签","通用；暗相位压缩","黑市回收的远古封签，远古，稀有","1×1 / 1","2 / 2","高风险事件、宝藏、首领奖励","4 格内可见敌人；使用者生命大于 12","对目标造成 28 伤；若完整结算后目标仍存活，使用者失去 12 生命，绕过护盾","2 AP；护盾和高生命目标会稳定触发反噬；精确预览后收割或先破势是主要用法","唯一“未击杀即反噬”的高伤封签；风险收益、斩杀、首领权衡"
