id,名称,分线,稀有度,AP,魔力,冷却_自身回合,延时_行动条,射程,目标与形状,核心效果,平衡职责,奖励等价组,学院奖励资格,平衡状态,策划备注
F-P-M15,焰压退击,M近战,普通,1,3,1,0,1,相邻敌单体,造成8点火焰伤害并推1格,脱离,独立,是,待固定种子验证,非法格只取消位移
F-P-M16,燃势收割,M近战,普通,1,3,1,0,1,相邻燃烧敌,造成16点武器伤害＋8点火焰伤害且保留燃烧,燃烧直伤收益,FIRE-BURN-DAMAGE,是,待固定种子验证,需燃烧前置
F-P-M17,焦甲吸热,M近战,少见,1,3,2,0,1,相邻燃烧敌,造成12点火焰伤害、消费燃烧并获得12点护盾,燃烧转盾,FIRE-BURN-SHIELD,是,待固定种子验证,需燃烧前置
F-P-M18,火场踏行,M近战,普通,1,2,1,0,3,燃烧格路径,沿连续火场移动且不触发该火场伤害,火场机动,独立,是,待固定种子验证,不可穿单位墙体
F-P-M19,炉心超限,M近战,稀有,2,5,4,8,3,敌人路径,冲至目标身前，造成24点武器伤害和12点火焰伤害；失去8点生命,越限终结,FIRE-MELEE-CAPSTONE,是,待同步,生命不足9拒绝；策划要求合包
F-P-M20,终炉断击,M近战,稀有,3,5,4,8,1,燃烧或破势敌,造成28点武器伤害和12点火焰伤害；消耗燃烧,条件终结,FIRE-MELEE-CAPSTONE,是,待同步,策划标称40点单次伤害包
F-P-U01,脱线疾行,U通用,普通,1,3,2,0,3,直线空格路径,直线突进3格；脱离威胁时下回合行动+1,脱险提速,FIRE-ESCAPE-DASH,是,已接入待实机验收,额外行动力不叠加；本技能不攻击
F-P-U02,烙痕传递,U通用,普通,1,3,1,0,自身,自身附着,下次武器命中施加燃烧8持续1回合,燃烧建立,FIRE-BURN-ESTABLISH,是,待固定种子验证,不追加直伤
F-P-U03,灼蚀校准,U通用,少见,1,4,2,0,自身,自身附着,下次武器命中施加破势,通用破势,FIRE-BREAK-APPLY,是,待固定种子验证,成本高于M06
F-P-U04,熔障校准,U通用,普通,1,2,2,0,4,可见可受击单体,造成8点伤害并施加熔障标记4回合；摧毁时回2魔力和4护盾,摧毁回流,FIRE-DESTROY-REFLOW,是,已接入待实机验收,标记不叠加且再次施加只刷新
F-P-U05,爆燃弹芯,U通用,少见,2,4,2,0,自身,自身附着,下次命中后，正交邻格受4点火焰伤害；伤及友军,溅射,独立,是,待固定种子验证,友军受伤
F-P-U06,热压续步,U通用,普通,1,2,1,0,自身,自身附着,下次武器攻击后可移动1格,攻击后走位,独立,是,待固定种子验证,不触发第二次攻击
F-P-U07,炉温护持,U通用,普通,1,3,2,0,3,自身或友军单体,目标获得12盾,主动防御,FIRE-ACTIVE-SHIELD,是,待固定种子验证,需要视线
F-P-U08,余烬护甲,U通用,少见,2,4,2,0,自身,自身单体,未燃烧时获得12点护盾；燃烧时获得20点护盾并清除燃烧,自救护盾,FIRE-ACTIVE-SHIELD,是,待同步,运行时显示名已同步
F-P-U09,温血苏醒,U通用,普通,1,2,1,0,自身,自身单体,清除迟缓；本回合移动恢复至5格,机动自救,FIRE-SELF-CLEANSE,是,待固定种子验证,无迟缓不可施放
F-P-U10,热障偏流,U通用,少见,1,3,2,0,自身,自身姿态,首次远距受伤前获得8盾,通用反远程,FIRE-RANGED-DEFENSE,是,待固定种子验证,近战与环境伤害不触发
F-P-U11,热源回收,U通用,普通,1,0,2,0,3,燃烧格单体,清火场并恢复2魔力,火场转魔,FIRE-BURN-MANA,是,待固定种子验证,AP与火场换净回蓝
F-P-U12,余热转护,U通用,少见,1,3,2,0,自身,自身附着,命中燃烧敌后消费燃烧并得12盾,燃烧转盾,FIRE-BURN-SHIELD,是,待固定种子验证,未触发则行动结束失效
F-P-U13,燃势回收,U通用,少见,1,1,2,0,自身,自身附着,命中燃烧敌后恢复3魔力并保留燃烧,燃烧转魔,FIRE-BURN-MANA,是,待固定种子验证,净回2且上限12
F-P-U14,追火校准,U通用,普通,1,2,1,0,自身,自身附着,下次攻击对燃烧敌追加12点火焰伤害,燃烧直伤收益,FIRE-BURN-DAMAGE,是,待固定种子验证,需燃烧前置
F-P-U15,灰烬复燃,U通用,普通,1,2,1,0,自身,自身附着,下次命中燃烧敌时追加4点火焰伤害并延长至至少2回合,燃烧维持,FIRE-BURN-MAINTAIN,是,待固定种子验证,不提高燃烧强度
F-P-U16,炉压蓄势,U通用,少见,1,4,2,4,自身,自身附着,下次武器攻击基础伤害+12,高值武器强化,FIRE-WEAPON-DAMAGE,是,待固定种子验证,重武器不再额外增益
F-P-U17,焦土警戒,U通用,稀有,2,4,3,0,3,可见空格单体,首名敌人进入时受到8点武器伤害；生成火场2回合,警戒地格,独立,是,待固定种子验证,每次最多一次
F-P-U18,炉压震步,U通用,少见,1,3,2,0,2,直线空格路径,直线突进2格；落点邻接目标受8点伤害并推开1格,突进冲击,FIRE-DASH-IMPACT,是,已接入待实机验收,可伤友军；非法推位只取消位移
F-P-U19,火线协同,U通用,稀有,2,4,2,0,4,燃烧敌单体,下次攻击燃烧目标后，造成8点火焰伤害并推开1格；生成火场2回合,协同,独立,是,待固定种子验证,每次仅触发一次
F-P-U20,炉心共振,U通用,稀有,2,5,4,8,自身,自身附着,下次攻击燃烧或破势目标时追加20点火焰伤害；两者兼具时改为28点,通用终结,独立,是,待固定种子验证,须留1AP武器攻击
F-P-R01,火弹,R远程,普通,1,2,0,0,3,可见敌单体,造成12点火焰伤害,短程直伤,FIRE-SINGLE-DIRECT,是,待固定种子验证,不点燃
F-P-R02,火矢,R远程,普通,1,2,0,0,5,可见敌单体,造成8点火焰伤害,长程直伤,FIRE-SINGLE-DIRECT,是,待固定种子验证,以伤害换射程
F-P-R03,烙印,R远程,普通,1,3,0,0,3,可见敌单体,造成4点火焰伤害；施加燃烧1回合,燃烧建立,FIRE-BURN-ESTABLISH,是,待固定种子验证,受掩体/免疫反制
F-P-R04,火种,R远程,少见,1,2,1,0,4,可见敌单体,施加燃烧2回合,燃烧维持,FIRE-BURN-MAINTAIN,是,待固定种子验证,不造火场
F-P-R05,余烬火弹,R远程,少见,2,4,1,0,4,可见敌单体,造成16点火焰伤害；目标已燃烧时延长至至少2回合,直伤兼维持,FIRE-SINGLE-DIRECT,是,待固定种子验证,不提高燃烧强度
F-P-R06,焰线,R远程,少见,2,4,2,0,4,直线4格,线内每个单位受到8点火焰伤害,直线范围,独立,是,待固定种子验证,首重掩体截断且伤友军
F-P-R07,火焰喷射,R远程,普通,1,3,0,0,3,前方3格锥形,锥形范围内每个单位受到8点火焰伤害,近距锥形,FIRE-CONE-DAMAGE,是,待固定种子验证,伤友军
F-P-R08,点燃喷射,R远程,少见,2,4,2,0,3,前方3格锥形,单位受到4点火焰伤害；敌人额外获得燃烧8且持续1回合,范围点燃,独立,是,待固定种子验证,友军只受直伤
F-P-R09,焰击术,R远程,少见,2,3,1,4,3,可见敌单体,造成20点火焰伤害,延时爆发,FIRE-SINGLE-DIRECT,是,待固定种子验证,轻延时公开
F-P-R10,熔势射流,R远程,稀有,2,5,3,4,3,可见敌单体,造成12点火焰伤害后施加破势,远程攻坚,FIRE-BREAK-ATTACK,是,待固定种子验证,破势不回溯本次伤害
F-P-R11,火带,R远程,少见,2,5,2,0,4,连续3格,生成3格火场，持续3回合,线形封锁,FIRE-GROUND-LINE,是,待固定种子验证,可绕行/灭火
F-P-R12,火路,R远程,普通,1,3,1,0,4,直线4格,生成4格火场，持续2回合,切线封锁,FIRE-GROUND-LINE,是,待固定种子验证,实体墙截断
F-P-R13,灼域火钉,R远程,普通,1,3,1,0,3,空地单格,生成火场4回合；获得火势+4，持续2回合,守点火场,FIRE-GROUND-ZONE,是,待固定种子验证,仅空地
F-P-R14,炽焰墙,R远程,稀有,3,5,3,4,5,连续5格,生成5格火场，持续4回合,大型线封锁,FIRE-GROUND-LINE,是,待固定种子验证,轻延时
F-P-R15,熔火领域,R远程,少见,2,5,3,0,4,中心及正交相邻,生成区域火场，持续2回合,区域封锁,FIRE-GROUND-ZONE,是,待固定种子验证,重掩体阻断投放
F-P-R16,引爆,R远程,稀有,2,5,2,0,3,燃烧敌单体,造成20点火焰伤害并消费燃烧,单体引爆,FIRE-BURN-DETONATE,是,待固定种子验证,需燃烧前置
F-P-R17,地火抽爆,R远程,普通,1,3,1,0,4,火场上单位,造成12点火焰伤害并消费该格火场,火场引爆,独立,是,待固定种子验证,需火场前置
F-P-R18,爆燃横扫,R远程,少见,2,4,2,0,3,前方3格锥形,燃烧单位各受到12点火焰伤害并消费燃烧,范围引爆,FIRE-BURN-DETONATE,是,待固定种子验证,友军若燃烧亦受影响
F-P-R19,熔障爆点,R远程,普通,1,3,2,0,4,可见可受击单体,造成8点伤害；物块额外受到8点耐久伤害,远程破障,FIRE-OBJECT-BREAK,是,已接入待实机验收,单位与物件同值
F-P-R20,焚城界限,R远程,稀有,2,4,4,8,4,中心及正交相邻,造成20点火焰伤害；施加助燃+4，生成火场3回合,远程终结,独立,是,待固定种子验证,伤友军且重掩体截断
