类别,ID,名称,数量或配置,出现位置,玩家操作,验收结果
敌人表达,ENEMY-IDENTITY,敌人统一内容身份,意图／人设／外观／技能表现／技能效果／台词集合,首次体验战斗,查看意图并观察行动与台词,公开意图与实际脚本一致
界面,UI-RULE-HOVER,规则悬停说明,短标题＋主要效果＋关键词解释；默认隐藏,特色地块／敌人／状态／资源,悬停查看,低常驻信息密度且规则完整
地图节点,M,医务室,免费健康确认；治疗和餐食各一次,B3支线,确认健康状态并可选服务,确认不恢复生命；复访不刷新
地图节点,X,三材承压场,主角B5；贯阵承压机·楔角H5；浅水D2–D8；灯藤E3–G3与E6–G6；稳压晶簇G5；普通干路D9,B3支线,完成首次锻造、专精、健康确认后出战并根据公开冲压线改变站位,正式关卡与楔角锁线冲压／碰撞／冷却／卸压运行时已接入；EditMode已验证，Play Mode意图刷新、节奏与表现待验收
地图节点,S,精英后商店,固定三件库存,X胜利后,购买或离开,首次展开结束固定教学段
地图拓扑,GRAPH-01,固定连线,O-B1-B2-B3；B1-EV1；B1-EV2；B2-W；B2-EV3；B3-X；B3-M；X-S,首次地图,点击已解锁节点,10个内容节点；精英前8个
地图移动,TRAVEL-01,无成本往返,不消耗时序／金币／生命／法宝次数,已解锁节点间,点击目的地并快速移动,已完成节点可作通路
地图状态,NODE-STATE-01,节点状态集,锁定／可达／推荐／完成／可复访／已使用或售罄,首次地图,查看状态和解锁条件,读档后状态一致
奖励,REWARD-GROUP-1,战后固定三选一1,焦痕跃进／熔障爆点／炉温护持,B1后,选择1项,候选不重抽；分别支持突进搜刮／破坏引爆／稳健承伤
奖励,REWARD-GROUP-2,战后固定三选一2,熔障校准／脱线疾行／炉压震步,B2后,选择1项,摧毁回流／脱险提速／突进冲击已接入；待Play Mode操作与视觉验收
奖励,REWARD-GROUP-3,战后固定三选一3,刻印战锤／接触耦合环／余烬格挡,B3后,选择1项,真实术式／装备候选与发放已接入；三组固定候选形成27条稳定基础路径
奖励,REWARD-FIRST-ELITE,第一场精英固定奖励包,回火导流／动势点火／缓冲覆层三选一＋低压回路护额×1＋定锚支架×1完整4次＋金币6,X胜利后,选择1项被动并处理全部固定奖励去向,三项被动与常驻效果、固定装备／法宝／金币同事务发放、选择存档和商店门槛已接入并通过EditMode回归
法宝,RELIC-1,导位罗盘,1AP／3次；4格内可见单位拉近最多2格，遇阻挡或占用格停止,EV2,取得并装入战术栏,战斗2可辅助调整敌人与晶簇位置但不是唯一解
法宝,RELIC-2,截击铃,可选；2AP；2次；标记3格内可见空格；首个进入敌人受到12点伤害并沿进入方向推1格,EV3,放弃学院贡献1后取得并装入战术栏,沿用正式完整实例；不是精英唯一钥匙
医务室,MEDICAL-CHECK,健康确认,免费；无恢复,M首次进入,查看当前生命和精英压力,完成后满足精英解锁条件之一
医务室,MEDICAL-HEAL,伤势处理,1学院贡献；恢复最大生命50%；一次,M,支付贡献或放弃,不自动执行；复访不刷新
餐食,MEAL-FIRST-POOL,首轮固定餐食,强攻炖肉／导能热饮／岩盐浓汤,M,最多购买1种,固定显示；读档不重抽
商店,SHOP-FIRST-STOCK,首轮固定库存,解构楔3金币／移相线轴6金币／测距护目镜4金币,S,购买或保留金币,各限购1件；读档不刷新
存档,SAVE-FIRST-RUN,版本化首轮清单,地图／候选／敌人脚本／服务和库存全部写入,创建首轮及每次状态变更后,退出并继续,不重抽、不重复领取
迁移,MIGRATE-FIRST-RUN,旧存档兼容,区分未开始首轮与正在进行的旧轮次,载入旧存档,执行显式迁移策略,不静默覆盖进行中的旧轮次
界面,UI-FIRST-MAP,固定地图与节点摘要,锁定／可达／推荐／完成／可复访状态,节点间,查看并进入节点,无越级进入；往返无成本
界面,UI-FIRST-ORIGIN,学生基础配置,角色背景／天赋／专属术式同屏,首次角色确认,阅读并继续,20秒内可理解
界面,UI-FIRST-REWARD,三次奖励三选一,固定候选＋动态联动提示,B1／B2／B3后,选择并确认,保存后返回地图
界面,UI-FIRST-SERVICE,事件／工坊／医务室／商店,最低可用流程界面,功能节点,确认公开结果,一次性状态清楚显示
测试,TEST-FIRST-GRAPH,首轮流程EditMode测试,可达性／解锁／复访／死亡／迁移,Unity测试,运行自动化测试,全部通过且Console无错误
范围外,OUT-ANIMATION,最终30秒动画资产,仅保留可跳过接入点,开场,不在本Build制作,不阻塞流程骨架
待补范围,OUT-LATER-RUN,首次体验后的常规学院流程,首批关卡组合／接入落点／首个目标／节点解锁／后续地图与首领流程,S之后,继承首次体验当前轮次状态并继续游戏,不重建角色或清空资源；进入后的首场战斗可实际使用精英奖励；具体关卡与流程另行冻结
范围外,OUT-LATER-LIFE,其他人生内容,其他出身／局外成长／战争／剧情模式,后续版本,不实施,不扩展当前范围
美术规划,ART-PLAN-20260905,美术优化与视觉迭代方案,已交付方案、交互评审页和顺序清单；新增正式资产0项,肉鸽首战样板与两模式共用视觉规范,本次为规划交付，不改游戏操作,证据、文件入口、依赖与验收齐备；下一主任务ART-V0-01复审现有水面和灯藤v3；其余新视觉数值均未采纳

