"技能ID","名称","类别","AP","魔力","生命","冷却","次数","目标与范围","效果链","结算规则"
"F-P-M19","炉心超限","个人术式-M近战","2","5","0","4自身回合","无限","敌人路径；射程3","移动后造成24点武器伤害＋12点火焰伤害且自身失去8点生命；施法者行动条+8","平衡职责：越限终结；状态：待同步；生命不足9拒绝；策划要求合包"
"F-P-M20","终炉断击","个人术式-M近战","3","5","0","4自身回合","无限","燃烧或破势敌；射程1","造成28点武器伤害＋12点火焰伤害并消费燃烧；施法者行动条+8","平衡职责：条件终结；状态：待同步；策划标称40点单次伤害包"
"F-P-R01","火弹","个人术式-R远程","1","2","0","0自身回合","无限","可见敌单体；射程3","造成12点火焰伤害","平衡职责：短程直伤；状态：待固定种子验证；不点燃"
"F-P-R02","火矢","个人术式-R远程","1","2","0","0自身回合","无限","可见敌单体；射程5","造成8点火焰伤害","平衡职责：长程直伤；状态：待固定种子验证；以伤害换射程"
"F-P-R03","烙印","个人术式-R远程","1","3","0","0自身回合","无限","可见敌单体；射程3","施加燃烧8且持续1回合（无直伤）","平衡职责：燃烧建立；状态：待固定种子验证；受掩体/免疫反制"
"F-P-R04","火种","个人术式-R远程","1","2","0","1自身回合","无限","可见敌单体；射程4","燃烧8持续2回合且无直伤","平衡职责：燃烧维持；状态：待固定种子验证；不造火场"
"F-P-R05","余烬火弹","个人术式-R远程","2","4","0","1自身回合","无限","可见敌单体；射程4","造成16点火焰伤害；目标已燃烧时延长至至少2回合","平衡职责：直伤兼维持；状态：待固定种子验证；不提高燃烧强度"
"F-P-R06","焰线","个人术式-R远程","2","4","0","2自身回合","无限","直线4格；射程4","线内每个单位受到8点火焰伤害","平衡职责：直线范围；状态：待固定种子验证；首重掩体截断且伤友军"
"F-P-R07","火焰喷射","个人术式-R远程","1","3","0","0自身回合","无限","前方3格锥形；射程3","锥形范围内每个单位受到8点火焰伤害","平衡职责：近距锥形；状态：待固定种子验证；伤友军"
"F-P-R08","点燃喷射","个人术式-R远程","2","4","0","2自身回合","无限","前方3格锥形；射程3","锥形内敌人获得燃烧8且持续1回合（无直伤）","平衡职责：范围点燃；状态：待固定种子验证；友军只受直伤"
"F-P-R09","焰击术","个人术式-R远程","2","3","0","1自身回合","无限","可见敌单体；射程3","造成20点火焰伤害；施法者行动条+4","平衡职责：延时爆发；状态：待固定种子验证；轻延时公开"
"F-P-R10","熔势射流","个人术式-R远程","2","5","0","3自身回合","无限","可见敌单体；射程3","造成12点火焰伤害后施加破势；施法者行动条+4","平衡职责：远程攻坚；状态：待固定种子验证；破势不回溯本次伤害"
"F-P-R11","火带","个人术式-R远程","2","5","0","2自身回合","无限","连续3格；射程4","生成3格每次造成8点伤害且持续3回合的火场","平衡职责：线形封锁；状态：待固定种子验证；可绕行/灭火"
"F-P-R12","火路","个人术式-R远程","1","3","0","1自身回合","无限","直线4格；射程4","生成4格每次造成8点伤害且持续2回合的火场","平衡职责：切线封锁；状态：待固定种子验证；实体墙截断"
"F-P-R13","灼域火钉","个人术式-R远程","1","5","0","3自身回合","无限","空地单格；射程3","生成1格每次造成12点伤害且持续4回合的火场","平衡职责：守点火场；状态：待固定种子验证；仅空地"
"F-P-R14","炽焰墙","个人术式-R远程","3","6","0","4自身回合","无限","连续5格；射程5","生成5格每次造成8点伤害且持续4回合的火场；施法者行动条+4","平衡职责：大型线封锁；状态：待固定种子验证；轻延时"
"F-P-R15","熔火领域","个人术式-R远程","3","5","0","4自身回合","无限","3x3空地；射程4","生成区域火场；每次造成8点伤害且持续3回合；施法者行动条+8","平衡职责：区域封锁；状态：待固定种子验证；重掩体阻断投放"
"F-P-R16","引爆","个人术式-R远程","2","5","0","2自身回合","无限","燃烧敌单体；射程3","造成20点火焰伤害并消费燃烧","平衡职责：单体引爆；状态：待固定种子验证；需燃烧前置"
"F-P-R17","地火抽爆","个人术式-R远程","0","0","0","0自身回合","无限","火场上单位；射程4","造成12点火焰伤害并消费该格火场","平衡职责：火场引爆；状态：待固定种子验证；需火场前置"
"F-P-R18","爆燃横扫","个人术式-R远程","2","4","0","2自身回合","无限","前方3格锥形；射程3","燃烧单位各受到12点火焰伤害并消费燃烧","平衡职责：范围引爆；状态：待固定种子验证；友军若燃烧亦受影响"
"F-P-R19","熔障爆点","个人术式-R远程","2","4","0","2自身回合","无限","可见可受击单体；射程4","对中心单位或物件造成16点伤害，并对正交相邻单位与物件各造成8点伤害","平衡职责：远程破障；状态：已接入待实机验收；邻格伤友军；单位与物件同值"
"F-P-R20","焚城界限","个人术式-R远程","3","6","0","4自身回合","无限","中心及正交相邻；射程4","范围内单位各受到20点火焰伤害，并生成每次造成12点伤害且持续3回合的火场；施法者行动条+8","平衡职责：远程终结；状态：待固定种子验证；伤友军且重掩体截断"
"F-P-U01","脱线疾行","个人术式-U通用","1","3","0","2自身回合","无限","直线空格路径；射程3","沿四向主轴直线突进最多3格；若起点处于至少一个敌方公开攻击范围且终点离开全部范围则下回合行动力+1","平衡职责：脱险提速；状态：已接入待实机验收；额外行动力不叠加；本技能不攻击"
"F-P-U02","烙痕传递","个人术式-U通用","1","3","0","1自身回合","无限","自身附着；射程自身","下次武器命中施加燃烧8持续1回合","平衡职责：燃烧建立；状态：待固定种子验证；不追加直伤"
"F-P-U03","灼蚀校准","个人术式-U通用","1","4","0","2自身回合","无限","自身附着；射程自身","下次武器命中施加破势","平衡职责：通用破势；状态：待固定种子验证；成本高于M06"
"F-P-U04","熔障校准","个人术式-U通用","1","2","0","2自身回合","无限","可见可受击单体；射程4","施加持续4回合的熔障标记并对单位或物件造成8点伤害；标记目标被摧毁时恢复2魔力并获得4护盾","平衡职责：摧毁回流；状态：已接入待实机验收；标记不叠加且再次施加只刷新"
"F-P-U05","爆燃弹芯","个人术式-U通用","2","4","0","2自身回合","无限","自身附着；射程自身","下次命中后追加4点火焰伤害，正交相邻单位各受到4点火焰伤害","平衡职责：溅射；状态：待固定种子验证；友军受伤"
"F-P-U06","热压续步","个人术式-U通用","1","2","0","1自身回合","无限","自身附着；射程自身","下次武器攻击后追加4点火焰伤害，并向远离目标方向后撤1格","平衡职责：攻击后走位；状态：待固定种子验证；不触发第二次攻击"
"F-P-U07","炉温护持","个人术式-U通用","1","3","0","2自身回合","无限","自身或友军单体；射程3","目标获得12盾","平衡职责：主动防御；状态：待固定种子验证；需要视线"
"F-P-U08","余烬护幕","个人术式-U通用","2","4","0","2自身回合","无限","自身单体；射程自身","清燃烧后得20盾；未燃烧得12盾","平衡职责：自救护盾；状态：待同步；运行时显示名为余烬护甲"
"F-P-U09","温血苏醒","个人术式-U通用","1","2","0","1自身回合","无限","自身单体；射程自身","清迟缓并恢复本行动基础移动","平衡职责：机动自救；状态：待固定种子验证；无迟缓不可施放"
"F-P-U10","热障偏流","个人术式-U通用","1","3","0","2自身回合","无限","自身姿态；射程自身","首次远距受伤前获得8盾","平衡职责：通用反远程；状态：待固定种子验证；近战与环境伤害不触发"
"F-P-U11","热源回收","个人术式-U通用","0","0","0","0自身回合","无限","燃烧格单体；射程3","清火场并恢复2魔力","平衡职责：火场转魔；状态：待固定种子验证；AP与火场换净回蓝"
"F-P-U12","余热转护","个人术式-U通用","1","3","0","2自身回合","无限","自身附着；射程自身","命中燃烧敌后消费燃烧并得12盾","平衡职责：燃烧转盾；状态：待固定种子验证；未触发则行动结束失效"
"F-P-U13","燃势回收","个人术式-U通用","1","1","0","2自身回合","无限","自身附着；射程自身","命中燃烧敌后恢复3魔力并保留燃烧","平衡职责：燃烧转魔；状态：待固定种子验证；净回2且上限12"
"F-P-U14","追火校准","个人术式-U通用","1","2","0","1自身回合","无限","自身附着；射程自身","下次攻击对燃烧敌追加12点火焰伤害","平衡职责：燃烧直伤收益；状态：待固定种子验证；需燃烧前置"
"F-P-U15","灰烬复燃","个人术式-U通用","1","2","0","1自身回合","无限","自身附着；射程自身","下次命中燃烧敌时追加4点火焰伤害并延长至至少2回合","平衡职责：燃烧维持；状态：待固定种子验证；不提高燃烧强度"
"F-P-U16","炉压蓄势","个人术式-U通用","1","4","0","2自身回合","无限","自身附着；射程自身","下次武器攻击基础伤害+12；施法者行动条+4","平衡职责：高值武器强化；状态：待固定种子验证；重武器不再额外增益"
"F-P-U17","焦土警戒","个人术式-U通用","1","4","0","3自身回合","无限","可见空格单体；射程3","敌人首次进入后生成每次造成8点伤害且持续2回合的火场（无直伤）","平衡职责：警戒地格；状态：待固定种子验证；每次最多一次"
"F-P-U18","炉压震步","个人术式-U通用","1","3","0","2自身回合","无限","直线空格路径；射程2","沿四向主轴直线突进最多2格；落点正交邻接的单位与物件各承受8点伤害并将其中单位向外推1格","平衡职责：突进冲击；状态：已接入待实机验收；可伤友军；撞玩法物块时双方各受4点碰撞伤害，其他非法推位只取消位移"
"F-P-U19","火线协同","个人术式-U通用","2","4","0","2自身回合","无限","燃烧敌单体；射程4","自身攻击后友军下次攻击追加8点火焰伤害","平衡职责：协同；状态：待固定种子验证；双方各最多触发一次"
"F-P-U20","炉心共振","个人术式-U通用","2","5","0","4自身回合","无限","自身附着；射程自身","对燃烧或破势目标追加20点火焰伤害；同时满足时追加28点火焰伤害并清除燃烧；施法者行动条+8","平衡职责：通用终结；状态：待固定种子验证；须留1AP武器攻击"
