"技能ID","名称","卡面文案"
"F-P-R05","余烬火弹","造成16点火焰伤害。目标已燃烧时，使燃烧至少持续2回合。"
"F-P-R06","焰线","直线上的每个单位受到8点火焰伤害。友军也会受伤，重掩体会挡住火线。"
"F-P-R07","火焰喷射","扇形内每个单位受到8点火焰伤害，包括友军。"
"F-P-R08","点燃喷射","扇形内的敌人燃烧1回合；目标回合结束时受到8点火焰伤害。"
"F-P-R09","焰击术","造成20点火焰伤害。你的行动条提前4刻度。"
"F-P-R10","熔势射流","造成12点火焰伤害并施加破势：清空目标护盾，使其暂时无法获得护盾。你的行动条提前4刻度。"
"F-P-R11","火带","生成3格火场，持续3回合。单位进入火场或在回合开始时仍处于火场内，会受到8点火焰伤害。"
"F-P-R12","火路","沿直线生成4格火场，持续2回合。单位进入火场或在回合开始时仍处于火场内，会受到8点火焰伤害。"
"F-P-R13","灼域火钉","在目标格生成火场，持续4回合。单位进入火场或在回合开始时仍处于火场内，会受到12点火焰伤害。"
"F-P-R14","炽焰墙","生成5格火场，持续4回合。单位进入火场或在回合开始时仍处于火场内，会受到8点火焰伤害。你的行动条提前4刻度。"
"F-P-R15","熔火领域","在3×3区域生成火场，持续3回合。单位进入火场或在回合开始时仍处于火场内，会受到8点火焰伤害。你的行动条提前8刻度。"
"F-P-R16","引爆","对燃烧的敌人造成20点火焰伤害，并移除其燃烧。"
"F-P-R17","地火抽爆","对火场上的单位造成12点火焰伤害，并移除该格火场。"
"F-P-R18","爆燃横扫","扇形内燃烧的单位各受到12点火焰伤害，并移除燃烧。燃烧的友军也会受伤。"
"F-P-R19","熔障爆点","目标受到16点伤害；其上下左右相邻的单位和物件各受到8点伤害，包括友军。"
"F-P-R20","焚城界限","范围内每个单位受到20点火焰伤害。范围内空格生成火场，持续3回合；单位进入火场或在回合开始时仍处于火场内，会受到12点火焰伤害。你的行动条提前8刻度。"
"ARTIFACT-F-T01","炎脉封装筒","十字范围内的单位受到16点火焰伤害，轻掩体被摧毁。范围内空格生成火场，持续3回合；单位进入火场或在回合开始时仍处于火场内，会受到8点火焰伤害。会伤到友军，重掩体会挡住投放。"
"ARTIFACT-G-T01","折盾匣","目标获得20点护盾。"
"ARTIFACT-G-T02","移相线轴","移动到目标空格。使用后，你的下次行动延后4刻度。被束缚时无法使用。"
"ARTIFACT-G-T03","缚位框","使目标束缚1回合：目标无法移动，但仍可攻击、施术和使用物品。"
"ARTIFACT-G-T04","显迹测镜","清空目标的护盾，并使其在下次自身回合结束前无法获得护盾。不会造成伤害，也不会阻止目标行动。"
"ARTIFACT-G-T05","以太虹吸泵","恢复4点个人魔力，然后失去8点生命。生命损失无视护盾。"
"ARTIFACT-G-T06","复元编架","目标恢复20点生命，然后失去12点护盾。目标至少要有12点护盾。"
"ARTIFACT-G-T07","掩体压模","在目标格生成耐久24的重掩体。它会阻挡双方移动和攻击线。"
"ARTIFACT-G-T08","解构楔","对相邻物件造成24点耐久伤害，不会伤害单位。"
"ARTIFACT-G-T09","导位罗盘","将目标拉向你，最多移动2格。遇到边界、阻挡或占用格时会停止。"
"ARTIFACT-G-T10","截击铃","标记一格，持续到你的下次行动。首个进入该格的敌人受到12点伤害，并被推开1格；之后标记消失。推位受阻时仍会造成伤害。"
"ARTIFACT-G-T11","险地冷凝器","移除范围内的火场和烟尘，不会改变其他地形或单位状态。"
"ARTIFACT-G-T12","行程簿","立即获得2点行动点。你的下次行动延后8刻度。"
"ARTIFACT-G-T13","定锚支架","装备后，自动抵消下一次推或拉；抵消时消耗1次使用机会。不会阻止伤害、状态或主动移动。"
"ARTIFACT-G-T14","棱返调节器","效果持续到你的下次行动。期间首次受到远程伤害前，获得8点护盾，并对攻击者造成8点伤害。近战和环境伤害不会触发此效果。"
"ARTIFACT-G-T15","诱导灯","部署耐久12的诱导灯。5格内能走到它身边的普通敌人会优先靠近并攻击它。诱导灯占据一个格子，可以被摧毁。"
"ARTIFACT-G-T16","护盾均衡阀","失去12点护盾，在目标格生成耐久12的轻掩体。使用前你必须至少有12点护盾。"
"ARTIFACT-G-T17","震测铅锤","将目标格上下左右相邻的单位向外推开1格，中心单位不受影响。会影响友军；遇阻或定锚时无法推动。"
"ARTIFACT-G-T18","静默幕","在目标格生成烟幕，持续8刻度。烟幕可通过，但会阻断双方的远程攻击线。"
"ARTIFACT-G-T19","冒险封签","对目标造成28点伤害。若目标结算后仍存活，你失去12点生命；生命损失无视护盾。"
