"敌人","敌人分类","循环","意图名字","伤害","范围","施加状态","获得效果／护盾","被动","口径"
"侧锋生","普通学生","普通攻击","限位钩刃","按武器配置","相邻1格","无","无","无","临时补全"
"侧锋生","普通学生","移动","追击移动","无","5步内路径","无","移动至侧后相邻攻击位","无","临时补全"
"侧锋生","普通学生","范围攻击","钩刃扫切","2物理","前方3格扇面","中心格束缚1回合","无","无","提案"
"划线教官","精英教职","普通攻击","刻阵重锤","按武器配置","相邻1格","无","无","守位：贴墙时回合开始获得4护盾","临时补全"
"划线教官","精英教职","移动","追击移动","无","5步内路径","无","移动至攻击位或筑墙位","守位","临时补全"
"划线教官","精英教职","范围攻击","封线夯墙","无","直线3格","无","生成最多3段耐久12重掩体","守位","提案"
"划线教官","精英教职","防守／套盾","守墙整备","无","自身","无","获得4护盾；墙被拆时移除","守位","提案"
"拴索助教","普通控制","普通攻击","以太手杖","按武器配置","按武器射程","无","无","无","临时补全"
"拴索助教","普通控制","移动","追击移动","无","5步内路径","无","移动至攻击位或刻印位","无","临时补全"
"拴索助教","普通控制","范围攻击","石索封线","无","直线3格","约束纹持续2回合","无","无","提案"
"提灯巡查","普通支援","普通攻击","刻纹铜灯","按武器配置","按武器射程","无","无","无","临时补全"
"提灯巡查","普通支援","移动","追击移动","无","5步内路径","无","移动至光带覆盖位","无","临时补全"
"提灯巡查","普通支援","范围攻击","双灯扫照","每格1奥术","两条平行3格线","无法藏身；清除护盾","无","无","提案"
"背弩生","普通学生","普通攻击","绞盘重弩","按武器配置","2至4格直线","无","无","退距：无法命中时后退1格并重新架设","临时补全"
"背弩生","普通学生","移动","追击移动","无","5步内路径","无","移动至2至5格架设位","退距","临时补全"
"背弩生","普通学生","范围攻击","裂矢","3物理","目标格加正交4格","无","无","退距","提案"
"塔之守卫","固定首领","普通攻击","核心重击","按武器配置","相邻1格","无","无","维护链被动照常结算","临时补全"
"塔之守卫","固定首领","移动","推进移动","无","公开目标格","无","移动；不与攻击同回合","阶段0不可打倒、推离或阻挡","临时补全"
"塔之守卫","固定首领","范围攻击","塔压","5至8以太","正交直线4至6格","无","无","维护链","现有"
"楔角","精英构装体","普通攻击","普通撞击","按武器配置","相邻1格","无","无","锁线；干地卸压；浅水冷却","临时补全"
"楔角","精英构装体","移动","追击移动","无","5步内路径","无","移动至冲压线或近战位","锁线","临时补全"
"楔角","精英构装体","范围攻击","贯场冲压","8物理","公开路线最多5格","推1格","无","锁线；干地卸压；浅水冷却","现有"
"老寻","精英兽类","普通攻击","近战撕咬","按武器配置","相邻1格","无","无","留味：路径格留下气味痕3回合","临时补全"
"老寻","精英兽类","移动","追击移动","无","沿痕优先，5步内路径","无","移动至相邻攻击位","循味：沿痕移动+2且免除浅水／碎晶额外消耗","临时补全"
"老寻","精英兽类","范围攻击","环鸣","无","4格内所有单位","标记1回合；藏身无效","无","留味；循味","现有"
"小铃","精英图书管理员（风系）","普通攻击","引风短杖","按武器配置","按武器射程","无","无","风仅搬动散页、碎晶、烟尘","临时补全"
"小铃","精英图书管理员（风系）","移动","追击移动","无","5步内路径","无","移动至散页、火场或攻击位","风","临时补全"
"小铃","精英图书管理员（风系）","范围攻击","卷页","4物理","4格","无","消耗1格散页","风","现有"
"小铃","精英图书管理员（风系）","范围攻击","引火","6火焰","沿风最多3格","生成火场","吹动已着火散页","风","现有"
"试制员","精英工坊试制岗","普通攻击","工具","按武器配置","相邻1格","无","无","试制件可被双方拆除","临时补全"
"试制员","精英工坊试制岗","移动","追击移动","无","5步内路径","无","移动至布放位或攻击位","试制件","临时补全"
"试制员","精英工坊试制岗","范围攻击","连锁过载","每次8以太","相邻过载装置及正交相邻装置","无","引爆两件过载装置；敌我同伤","试制件","提案"
"老库管","精英封存保管","普通攻击","旧式检定器","按武器配置","按武器射程","无","无","无","临时补全"
"老库管","精英封存保管","移动","追击移动","无","5步内路径","无","移动至脉冲线或攻击线","无","临时补全"
"老库管","精英封存保管","范围攻击","旧脉冲","5以太","正交直线4格","破势；清除护盾","无","无","现有"
"灯台值守","普通郊野值守","普通攻击","塔上灯镜","按武器配置","按武器射程","无","无","无","临时补全"
"灯台值守","普通郊野值守","移动","追击移动","无","5步内路径","无","移动至光柱覆盖位","光柱","临时补全"
"灯台值守","普通郊野值守","范围攻击","转镜","5以太","直线6格","生成暗段（被遮挡处）","光柱随方向转动","光柱","现有"
