"类别","ID","名称","数量或配置","出现位置","玩家操作","验收结果"
"商店","SHOP-FIRST-STOCK","首轮固定库存","解构楔3金币／移相线轴6金币／测距护目镜4金币","S","购买或保留金币","各限购1件；读档不刷新"
"存档","SAVE-FIRST-RUN","版本化首轮清单","地图／候选／敌人脚本／服务和库存全部写入","创建首轮及每次状态变更后","退出并继续","不重抽、不重复领取"
"迁移","MIGRATE-FIRST-RUN","旧存档兼容","区分未开始首轮与正在进行的旧轮次","载入旧存档","执行显式迁移策略","不静默覆盖进行中的旧轮次"
"界面","UI-FIRST-MAP","固定地图与节点摘要","锁定／可达／推荐／完成／可复访状态","节点间","查看并进入节点","无越级进入；往返无成本"
"界面","UI-FIRST-ORIGIN","出身三件套","故事／天赋／专属术式同屏","首次领装","阅读并继续","20秒内可理解"
"界面","UI-FIRST-REWARD","三次奖励三选一","固定候选＋动态联动提示","B1／B2／B3后","选择并确认","保存后返回地图"
"界面","UI-FIRST-SERVICE","事件／工坊／医务室／商店","最低可用流程界面","功能节点","确认公开结果","一次性状态清楚显示"
"测试","TEST-FIRST-GRAPH","首轮流程EditMode测试","可达性／解锁／复访／死亡／迁移","Unity测试","运行自动化测试","全部通过且Console无错误"
"范围外","OUT-ANIMATION","最终30秒动画资产","仅保留可跳过接入点","开场","不在本Build制作","不阻塞流程骨架"
"范围外","OUT-CONTENT","首批内容未冻结部分","敌人／地图／9项奖励／法宝精确数值","当前策划阶段","本对话确认后进入PHASE-B","实施任务不得自行定案"
"范围外","OUT-LATER-RUN","首次商店之后内容","随机地图／40节点完整学院／首领／阶段结算","S之后","不实施","商店首次展开即结束验收"
"范围外","OUT-LATER-LIFE","其他人生内容","其他出身／局外成长／战争／剧情模式","后续版本","不实施","不扩展当前范围"
